method,category,n_genes_called,pred_bp,n_in,n_out,rate_in,rate_out,odds_ratio,p
curated islands (reference),mobility,497,600153,50,39,10.060362173038229,1.079136690647482,10.253542132736763,4.226119981611322e-24
curated islands (reference),virulence,497,600153,77,99,15.492957746478874,2.7393469839513007,6.5092592592592595,2.5362117710885673e-27
curated islands (reference),resistance,497,600153,0,51,0.0,1.4111787493082457,0.0,1.0
curated islands (reference),any_hgt,497,600153,127,188,25.553319919517104,5.201992252351965,6.255060379528465,2.9056142581568133e-41
SSG-LUGIA-F,mobility,520,573600,42,47,8.076923076923077,1.3088276246170982,6.625478500845722,6.28522836152313e-16
SSG-LUGIA-F,virulence,520,573600,63,113,12.115384615384615,3.1467557783347258,4.243023953835131,5.413541959613195e-16
SSG-LUGIA-F,resistance,520,573600,1,50,0.19230769230769232,1.392369813422445,0.13645472061657032,0.9990339784135043
SSG-LUGIA-F,any_hgt,520,573600,106,209,20.384615384615383,5.8201058201058204,4.143170838823012,2.4893214585440437e-24
Comp-only+center,mobility,507,567900,43,46,8.481262327416173,1.2763596004439512,7.168009745127437,3.4723103736518375e-17
Comp-only+center,virulence,507,567900,67,109,13.214990138067062,3.0244173140954493,4.882506255212677,3.1177836196268303e-19
Comp-only+center,resistance,507,567900,1,50,0.19723865877712032,1.3873473917869035,0.14047430830039526,0.9988369817315821
Comp-only+center,any_hgt,507,567900,111,204,21.893491124260354,5.660377358490566,4.671717171717172,1.434095945416912e-28
DNABERT-S-only,mobility,542,623000,48,41,8.85608856088561,1.1487811711964135,8.36101510812679,1.9196598178151926e-20
DNABERT-S-only,virulence,542,623000,66,110,12.177121771217712,3.0820958251611095,4.360084033613445,5.75698020713955e-17
DNABERT-S-only,resistance,542,623000,3,48,0.5535055350553506,1.3449145418884842,0.4082792207792208,0.9724963498984214
DNABERT-S-only,any_hgt,542,623000,117,198,21.58671586715867,5.547772485289997,4.686951871657754,9.518922064728793e-30
SAGE-GI,mobility,558,637400,49,40,8.78136200716846,1.125809175344779,8.45466601178782,8.329676854034427e-21
SAGE-GI,virulence,558,637400,69,107,12.365591397849462,3.011539544047284,4.544349521243048,3.171323588170415e-18
SAGE-GI,resistance,558,637400,3,48,0.5376344086021505,1.350971010413735,0.3947072072072072,0.9768377233045374
SAGE-GI,any_hgt,558,637400,121,194,21.684587813620073,5.460174500422179,4.79415650286631,3.7224091306568494e-31
