accession,c1,c2,filter_len,min_len,refine,n_pred,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,mabe,median_jaccard
NC_000907.1,0.05,0.05,200,8000,False,9,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.05,0.05,200,8000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.05,0.05,200,10000,False,9,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.05,0.05,200,10000,True,3,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.05,0.05,400,8000,False,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,400,8000,True,1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,400,10000,False,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,400,10000,True,1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,600,8000,False,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,600,8000,True,1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,600,10000,False,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.05,0.05,600,10000,True,1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,200,8000,False,10,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.075,0.075,200,8000,True,6,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.075,0.075,200,10000,False,10,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.075,0.075,200,10000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.075,0.075,400,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,400,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,400,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,400,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,600,10000,False,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.075,0.075,600,10000,True,1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,200,8000,False,10,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.05,200,8000,True,6,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.1,0.05,200,10000,False,10,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.05,200,10000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.1,0.05,400,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,400,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,400,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,400,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,600,10000,False,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.05,600,10000,True,1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.1,200,8000,False,15,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,200,8000,True,10,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,200,10000,False,15,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,200,10000,True,9,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,400,8000,False,4,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,400,8000,True,3,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,400,10000,False,4,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,400,10000,True,3,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.1,0.1,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.1,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.1,600,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.1,0.1,600,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,200,8000,False,15,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.05,200,8000,True,11,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,200,10000,False,14,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.05,200,10000,True,9,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,400,8000,False,4,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.05,400,8000,True,3,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,400,10000,False,4,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.05,400,10000,True,3,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.05,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,600,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.05,600,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,200,8000,False,18,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,200,8000,True,13,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,200,10000,False,18,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,200,10000,True,12,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,400,8000,False,6,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,400,8000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,400,10000,False,6,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.1,400,10000,True,5,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
NC_000907.1,0.15,0.1,600,8000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,600,8000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,600,10000,False,3,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.1,600,10000,True,2,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,,
NC_000907.1,0.15,0.2,200,8000,False,23,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,,
NC_000907.1,0.15,0.2,200,8000,True,17,0.0,0.0,0.0,2.377630508080456,-0.9535250658826895,0,8188,409,8605,,
