Method,P,R,F1,MABE,src
SIGI-HMM,75.78368692172104,32.84760274725391,42.03204828480845,,published
Centroid,43.65966045550271,23.588974723893276,27.037486878538093,,published
PAI-IDA,53.827543432801214,33.06520732154069,35.84535980097616,,published
IslandPath-DIMOB,64.28334657860388,36.22391558632411,41.51957991704398,,published
IslandPath-DINUC,45.74323706677417,57.360890191924035,45.67387513908022,,published
AlienHunter,38.62393985684041,81.12950896707659,46.143750512413305,,published
TreasureIsland,72.10058210049161,83.77589501531682,75.14952383793195,17.93841121495327,published
SSG-LUGIA-P,60.289639530642056,54.9714615498728,52.32628164637203,15.54735,this work
SSG-LUGIA-F,55.28101628578721,65.17879887179967,55.167369828611506,18.76121681415929,this work
SSG-LUGIA-R,40.06196421485757,86.71614032458605,49.10194398879241,29.70138888888889,this work
DNABERT-2-only,47.17750641504874,62.10733769245107,48.45321484572997,18.27411009174312,this work
NT-v2-only,43.410586719046215,54.02722551444049,43.183982493495265,17.45796116504854,this work
SAGE-GI,58.416823176014205,72.50965782965766,59.63479356204999,18.01137610619469,this work
SAGE-GI-P,60.49577760304191,64.89284145648145,57.93539015114829,17.12298660714286,this work
SAGE-GI-R,37.598076654202735,92.98218096079107,48.088954458216456,23.221792372881353,this work
DNABERT-S-only,58.6175662310988,73.13178875222403,60.32182001393233,17.95169298245614,this work
