Method,Description,P,R,F1,MABE,dF1,p,wins,n
DNABERT-S-only,"full model (fusion, no detrending)",58.6175662310988,73.13178875222403,60.32182001393233,17.95169298245614,0.0,1.0,0,118
SAGE-GI/no-refine,without CUSUM boundary refinement,57.78487495433749,73.45412453642996,59.52312288669752,17.536393805309732,0.7986971272348217,0.1941335959212077,65,118
SAGE-GI/start-assign,leading-edge window projection,57.95894382435303,73.89346888244206,59.55310863143292,18.327305309734516,0.7687113824994228,0.751050098285579,49,118
SAGE-GI/detrend=250kb,with positional detrending,50.22631438517893,68.02244834556883,52.721811071273756,19.23715,7.6000089426585795,4.177067046704873e-11,87,118
SAGE-GI(D2),DNABERT-2 substituted for DNABERT-S,50.78555789546419,64.07749767729345,51.53988319496436,18.94882300884956,8.781936818967974,3.588953201385035e-11,88,118
DNABERT-S-only,embedding channel only,58.6175662310988,73.13178875222403,60.32182001393233,17.95169298245614,0.0,1.0,0,118
DNABERT-2-only,general-purpose embedding only,47.17750641504874,62.10733769245107,48.45321484572997,18.27411009174312,11.868605168202379,3.3972724131844996e-13,97,118
SAGE-GI,with the compositional channel added,58.416823176014205,72.50965782965766,59.63479356204999,18.01137610619469,0.6870264518823422,0.17157325220103525,46,118
SAGE-GI(NT),Nucleotide Transformer v2 substituted for DNABERT-S,50.20615863125464,64.22235923422296,51.570896886435165,21.523018018018018,8.750923127497181,7.502759689853049e-10,89,118
NT-v2-only,Nucleotide Transformer v2 embedding only,43.410586719046215,54.02722551444049,43.183982493495265,17.45796116504854,17.13783752043707,4.946010782142997e-16,101,118
Comp-only+center,compositional channel only,55.173398524274795,68.54043724331379,56.36284449712161,18.09525663716814,3.9589755168107312,0.0019238495579247269,71,118
