accession,representation,n_components,detrend_bp,auc,mean_in,mean_out,contrast
NC_000907.1,DNABERT-S,8,0,0.16,2.5264668464660645,3.0381522178649902,0.8315800741022437
NC_000907.1,DNABERT-S,8,100000,0.33,2.5036113262176514,2.8387539386749268,0.8819402386760885
NC_000907.1,DNABERT-S,8,250000,0.32,2.573390483856201,2.870422840118408,0.8965196513521492
NC_000907.1,DNABERT-S,8,1000000,0.16,2.596445322036743,2.9969470500946045,0.8663634287281723
NC_000907.1,DNABERT-S,16,0,0.09,4.004645347595215,4.717540264129639,0.8488841903576314
NC_000907.1,DNABERT-S,16,100000,0.16,4.015277862548828,4.4584527015686035,0.9005989591716753
NC_000907.1,DNABERT-S,16,250000,0.12,3.945589542388916,4.526550769805908,0.8716547638673888
NC_000907.1,DNABERT-S,16,1000000,0.04,3.904877185821533,4.666351318359375,0.8368159444956739
NC_000907.1,DNABERT-S,24,0,0.05,5.438779354095459,6.229982376098633,0.873000760798517
NC_000907.1,DNABERT-S,24,100000,0.28,5.4432172775268555,5.9178056716918945,0.9198033155371669
NC_000907.1,DNABERT-S,24,250000,0.09,5.380845546722412,6.047785758972168,0.8897215875644537
NC_000907.1,DNABERT-S,24,1000000,0.07,5.22756290435791,6.153517246246338,0.8495243768995264
NC_000907.1,DNABERT-S,48,0,0.18,7.7886152267456055,8.914111137390137,0.8737399732516625
NC_000907.1,DNABERT-S,48,100000,0.3,7.817610263824463,8.755619049072266,0.8928677938143971
NC_000907.1,DNABERT-S,48,250000,0.22,7.734487056732178,8.738260269165039,0.8851289408287705
NC_000907.1,DNABERT-S,48,1000000,0.16,7.601587772369385,8.80296516418457,0.8635258268767134
NC_000907.1,DNABERT-2,8,0,0.0,3.2075133323669434,4.39798641204834,0.7293140614486483
NC_000907.1,DNABERT-2,8,100000,0.0,3.0747878551483154,4.0846076011657715,0.7527743556739092
NC_000907.1,DNABERT-2,8,250000,0.0,3.1408209800720215,4.2487592697143555,0.739232510173065
NC_000907.1,DNABERT-2,8,1000000,0.0,3.0193493366241455,4.250047206878662,0.710427246957953
NC_000907.1,DNABERT-2,16,0,0.0,4.103830337524414,5.655852794647217,0.7255900191405865
NC_000907.1,DNABERT-2,16,100000,0.0,4.049330234527588,5.286806583404541,0.7659312234418728
NC_000907.1,DNABERT-2,16,250000,0.0,3.984286069869995,5.444997310638428,0.7317333402691499
NC_000907.1,DNABERT-2,16,1000000,0.02,3.8434677124023438,5.470775604248047,0.7025453044387159
NC_000907.1,DNABERT-2,24,0,0.07,5.259843349456787,6.7013726234436035,0.7848904463327597
NC_000907.1,DNABERT-2,24,100000,0.14,5.207137107849121,6.319352626800537,0.8239985035437837
NC_000907.1,DNABERT-2,24,250000,0.11,5.184640407562256,6.5316362380981445,0.7937735995340577
NC_000907.1,DNABERT-2,24,1000000,0.05,5.047646522521973,6.487853050231934,0.778014927810599
NC_000907.1,DNABERT-2,48,0,0.13,7.714221954345703,8.49878978729248,0.9076847583499623
NC_000907.1,DNABERT-2,48,100000,0.26,7.612188816070557,8.231854438781738,0.9247234475148363
NC_000907.1,DNABERT-2,48,250000,0.14,7.538610935211182,8.319585800170898,0.9061281554493165
NC_000907.1,DNABERT-2,48,1000000,0.08,7.3425703048706055,8.289753913879395,0.8857404431001341
NC_000907.1,NT-v2-50M,8,0,0.32,2.3165504932403564,2.668463706970215,0.8681214165249329
NC_000907.1,NT-v2-50M,8,100000,0.36,2.336158514022827,2.5904555320739746,0.9018330888515381
NC_000907.1,NT-v2-50M,8,250000,0.19,2.2475216388702393,2.510408401489258,0.8952812767583691
