accession,method,start,end
NC_000907.1,SAGE-GI-P,622001,632000
NC_000907.1,SAGE-GI-P,1562001,1592000
NC_000907.1,Emb-only-P,1562001,1592000
NC_000907.1,SAGE-GI-R,46751,64250
NC_000907.1,SAGE-GI-R,116651,133950
NC_000907.1,SAGE-GI-R,225751,303050
NC_000907.1,SAGE-GI-R,393551,405950
NC_000907.1,SAGE-GI-R,478651,512850
NC_000907.1,SAGE-GI-R,521151,541250
NC_000907.1,SAGE-GI-R,593951,638050
NC_000907.1,SAGE-GI-R,652551,667150
NC_000907.1,SAGE-GI-R,726551,737150
NC_000907.1,SAGE-GI-R,766351,784250
NC_000907.1,SAGE-GI-R,834551,864450
NC_000907.1,SAGE-GI-R,913851,929250
NC_000907.1,SAGE-GI-R,1025951,1124150
NC_000907.1,SAGE-GI-R,1162251,1179450
NC_000907.1,SAGE-GI-R,1196251,1218550
NC_000907.1,SAGE-GI-R,1276651,1307950
NC_000907.1,SAGE-GI-R,1355451,1373150
NC_000907.1,SAGE-GI-R,1434551,1484150
NC_000907.1,SAGE-GI-R,1496351,1512150
NC_000907.1,SAGE-GI-R,1554551,1596550
NC_000907.1,SAGE-GI-R,1616551,1648250
NC_000907.1,SAGE-GI-R,1751251,1780350
NC_000907.1,SAGE-GI-R,1800851,1825150
NC_000907.1,Emb-only-R,46051,58550
NC_000907.1,Emb-only-R,116551,133450
NC_000907.1,Emb-only-R,212451,302850
NC_000907.1,Emb-only-R,431451,448450
NC_000907.1,Emb-only-R,487351,541150
NC_000907.1,Emb-only-R,593451,640350
NC_000907.1,Emb-only-R,649851,669950
NC_000907.1,Emb-only-R,725651,739650
NC_000907.1,Emb-only-R,766951,782750
NC_000907.1,Emb-only-R,835451,858150
NC_000907.1,Emb-only-R,905351,933050
NC_000907.1,Emb-only-R,1020151,1071950
NC_000907.1,Emb-only-R,1082751,1123650
NC_000907.1,Emb-only-R,1161851,1179250
NC_000907.1,Emb-only-R,1194651,1220150
NC_000907.1,Emb-only-R,1292351,1302550
NC_000907.1,Emb-only-R,1355751,1370850
NC_000907.1,Emb-only-R,1451251,1477650
NC_000907.1,Emb-only-R,1498551,1513250
NC_000907.1,Emb-only-R,1552551,1597150
NC_000907.1,Emb-only-R,1617051,1645950
NC_000907.1,Emb-only-R,1704151,1717550
NC_000907.1,Emb-only-R,1757951,1777250
NC_000907.1,Emb-only-R,1802251,1825150
AC_000091.1,SAGE-GI-P,262001,331000
AC_000091.1,SAGE-GI-P,566001,586000
AC_000091.1,SAGE-GI-P,1197001,1230000
AC_000091.1,SAGE-GI-P,1418001,1441000
AC_000091.1,SAGE-GI-P,1581001,1603000
AC_000091.1,SAGE-GI-P,2047001,2083000
AC_000091.1,SAGE-GI-P,2466001,2501000
AC_000091.1,SAGE-GI-P,2731001,2799000
AC_000091.1,SAGE-GI-P,3431001,3470000
AC_000091.1,SAGE-GI-P,4156001,4217000
AC_000091.1,SAGE-GI-P,4501001,4550000
AC_000091.1,Emb-only-P,268001,324000
AC_000091.1,Emb-only-P,566001,586000
AC_000091.1,Emb-only-P,1197001,1230000
AC_000091.1,Emb-only-P,1418001,1447000
AC_000091.1,Emb-only-P,1581001,1603000
AC_000091.1,Emb-only-P,2083001,2102000
AC_000091.1,Emb-only-P,2466001,2501000
AC_000091.1,Emb-only-P,2731001,2799000
AC_000091.1,Emb-only-P,3431001,3470000
AC_000091.1,Emb-only-P,4156001,4217000
AC_000091.1,Emb-only-P,4501001,4550000
AC_000091.1,SAGE-GI-R,91251,104050
AC_000091.1,SAGE-GI-R,119751,133350
