accession,method,true_start,true_end,matched,start_err,end_err,mean_err,signed_start_err,signed_end_err,jaccard
NC_000913.2,Comp-only,289659,297701,True,31359.0,19398.0,25378.5,-31359.0,19398.0,0.1367857142857143
NC_000913.2,Comp-only,2754150,2766804,True,5850.0,15595.0,10722.5,-5850.0,15595.0,0.3711143695014662
NC_000913.2,Comp-only,4507809,4516495,True,23309.0,24504.0,23906.5,-23309.0,24504.0,0.1537522123893805
NC_000913.2,Comp-only,4517262,4530587,True,32762.0,10412.0,21587.0,-32762.0,10412.0,0.235858407079646
NC_000913.2,Comp-only+center,289659,297701,True,26409.0,24348.0,25378.5,-26409.0,24348.0,0.1367857142857143
NC_000913.2,Comp-only+center,2754150,2766804,True,900.0,20545.0,10722.5,-900.0,20545.0,0.3711143695014662
NC_000913.2,Comp-only+center,4507809,4516495,True,18359.0,29454.0,23906.5,-18359.0,29454.0,0.1537522123893805
NC_000913.2,Comp-only+center,4517262,4530587,True,27812.0,15362.0,21587.0,-27812.0,15362.0,0.235858407079646
NC_000913.2,DNABERT-2-only,289659,297701,True,26659.0,39298.0,32978.5,-26659.0,39298.0,0.1086891891891891
NC_000913.2,DNABERT-2-only,2754150,2766804,True,23150.0,19195.0,21172.5,-23150.0,19195.0,0.2300909090909091
NC_000913.2,DNABERT-2-only,4507809,4516495,True,4809.0,36504.0,20656.5,-4809.0,36504.0,0.17374
NC_000913.2,DNABERT-2-only,4517262,4530587,True,14262.0,22412.0,18337.0,-14262.0,22412.0,0.26652
NC_000913.2,DNABERT-S-only,289659,297701,True,45659.0,59298.0,52478.5,-45659.0,59298.0,0.0711769911504424
NC_000913.2,DNABERT-S-only,2754150,2766804,True,25150.0,31195.0,28172.5,-25150.0,31195.0,0.1834057971014492
NC_000913.2,DNABERT-S-only,4507809,4516495,True,13809.0,26504.0,20156.5,-13809.0,26504.0,0.1772857142857143
NC_000913.2,DNABERT-S-only,4517262,4530587,True,23262.0,12412.0,17837.0,-23262.0,12412.0,0.2719591836734694
NC_000913.2,SAGE-GI,289659,297701,True,49659.0,26298.0,37978.5,-49659.0,26298.0,0.09575
NC_000913.2,SAGE-GI,2754150,2766804,True,25150.0,31195.0,28172.5,-25150.0,31195.0,0.1834057971014492
NC_000913.2,SAGE-GI,4507809,4516495,True,13809.0,26504.0,20156.5,-13809.0,26504.0,0.1772857142857143
NC_000913.2,SAGE-GI,4517262,4530587,True,23262.0,12412.0,17837.0,-23262.0,12412.0,0.2719591836734694
NC_000913.2,SAGE-GI(D2),289659,297701,True,26659.0,39298.0,32978.5,-26659.0,39298.0,0.1086891891891891
NC_000913.2,SAGE-GI(D2),2754150,2766804,True,25150.0,19195.0,22172.5,-25150.0,19195.0,0.2220175438596491
NC_000913.2,SAGE-GI(D2),4507809,4516495,True,4809.0,4504.0,4656.5,-4809.0,4504.0,0.4826111111111111
NC_000913.2,SAGE-GI(D2),4517262,4530587,True,14262.0,9588.0,11925.0,-14262.0,-9588.0,0.1354936929099608
NC_000913.2,SAGE-GI/detrend=250kb,289659,297701,True,27659.0,13298.0,20478.5,-27659.0,13298.0,0.1641428571428571
NC_000913.2,SAGE-GI/detrend=250kb,2754150,2766804,True,25150.0,31195.0,28172.5,-25150.0,31195.0,0.1834057971014492
NC_000913.2,SAGE-GI/detrend=250kb,4507809,4516495,True,7809.0,5504.0,6656.5,-7809.0,5504.0,0.3948636363636363
NC_000913.2,SAGE-GI/detrend=250kb,4517262,4530587,True,17262.0,8588.0,12925.0,-17262.0,-8588.0,0.1548973453641951
NC_000913.2,SAGE-GI/no-refine,289659,297701,True,33309.0,35748.0,34528.5,-33309.0,35748.0,0.1043190661478599
NC_000913.2,SAGE-GI/no-refine,2754150,2766804,True,13900.0,22845.0,18372.5,-13900.0,22845.0,0.2561740890688259
NC_000913.2,SAGE-GI/no-refine,4507809,4516495,True,21459.0,27054.0,24256.5,-21459.0,27054.0,0.1518706293706293
NC_000913.2,SAGE-GI/no-refine,4517262,4530587,True,30912.0,12962.0,21937.0,-30912.0,12962.0,0.2329720279720279
NC_000913.2,SAGE-GI/start-assign,289659,297701,True,45659.0,26298.0,35978.5,-45659.0,26298.0,0.1005375
