accession,method,genome_len,n_pred,pred_bp,out_of_distribution,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
AC_000091.1,TreasureIsland,4646332,35,660000,False,95.59271168274384,100.0,97.74670115295253,99.6251677265037,0.9757186615877634,22297,1028,250931,0,2,20536.0,0.24909772727272728,-12125.0,24226.5,0.0,0.0,25.0
NC_000907.1,TreasureIsland,1830138,25,537138,False,100.0,100.0,100.0,100.0,1.0,8605,0,8597,0,1,15697.5,0.215125,-12430.0,18965.0,0.0,0.0,0.0
NC_000913.2,TreasureIsland,4639675,28,589000,False,72.63528451413217,100.0,84.14882822889679,94.28568384642975,0.8230586772132915,42711,16091,222789,0,4,22746.5,0.2001181818181818,-22535.5,22746.5,0.0,0.0,12.5
NC_002516.2,TreasureIsland,6264404,60,1185000,False,93.29421735445597,98.2452286145819,95.70573482695201,97.73528872335324,0.9422730342641833,71552,5143,205551,1278,5,6004.0,0.4737195472856321,-6422.0,5586.0,10.0,30.0,30.0
NC_002655.2,TreasureIsland,5528445,42,1395000,False,92.34529536134406,87.44641969336612,89.82911645754828,92.68939088592211,0.8420589966659155,260314,21578,487073,37370,17,16103.5,0.249575,-14610.0,25301.0,2.941176470588235,5.88235294117647,17.647058823529413
NC_002695.1,TreasureIsland,5498450,46,1442000,False,97.68649186581709,94.53662138374203,96.08574889571379,96.75839814810645,0.9335728474691188,353376,8369,506005,20422,22,14256.0,0.2822,-12926.5,14256.0,6.8181818181818175,11.363636363636363,20.454545454545457
NC_002758.2,TreasureIsland,2878529,39,897000,False,61.592184848352986,100.0,76.23163818987221,93.48602593338795,0.7557254354483248,28309,17653,225040,0,1,16345.5,0.46408196721311473,-7002.0,25689.0,0.0,0.0,0.0
NC_002944.2,TreasureIsland,4829781,0,0,True,0.0,0.0,0.0,30.16395431726146,0.0,0,0,19888,46045,0,,,,,,,
NC_002947.3,TreasureIsland,6181863,109,2563000,False,97.96400860617533,85.60998652562455,91.3713018093818,90.96143024111511,0.8279428526409885,276379,5744,248946,46456,17,17630.0,0.24473333333333333,-19370.0,17227.0,0.0,8.823529411764707,17.647058823529413
NC_003047.1,TreasureIsland,3654135,17,306000,False,100.0,92.62433164872189,96.17095707061104,98.83201688762077,0.955806151711228,113814,0,653076,9063,7,3431.5,0.4866625,-3139.0,3297.0,7.142857142857142,28.57142857142857,64.28571428571429
NC_003197.1,TreasureIsland,4857432,47,934432,False,80.45734004033925,81.79403881072668,81.12018326707869,94.78588163648513,0.7809925284398018,66218,16084,494104,14739,5,15992.0,0.33992,-13799.0,18185.0,0.0,20.0,40.0
NC_003198.1,TreasureIsland,4809037,51,1104000,False,91.16341351605665,98.92913715684605,94.88765138340416,97.67851593793031,0.9351977509727079,151138,14650,534110,1636,11,21029.5,0.17782142857142857,-26309.0,21007.0,4.545454545454546,9.090909090909092,13.636363636363635
NC_003485.1,TreasureIsland,1895017,23,642017,False,73.70043781217241,100.0,84.85924242962122,97.59265321788605,0.8473361832641023,11952,4265,160949,0,1,54024.0,0.0996,-26381.0,81667.0,0.0,0.0,0.0
NC_003909.8,TreasureIsland,5224283,24,448000,False,93.49264666956071,85.3067336489228,89.21230368211278,98.6541316990902,0.8860186068534242,88301,6146,1477052,15209,3,4749.0,0.7647736246380626,-1757.0,-5392.0,16.666666666666664,33.33333333333333,50.0
NC_003923.1,TreasureIsland,2820462,38,885462,False,39.7661165855396,100.0,56.903801231684014,89.59171741278563,0.5943210615952097,20097,30441,241931,0,1,19951.5,0.33495,-16218.0,23685.0,0.0,0.0,0.0
NC_003997.3,TreasureIsland,5227293,23,394000,False,83.86015586680473,82.39845779003454,83.1228814131565,99.18228763165058,0.8270726491695605,30775,5923,1485016,6574,3,3287.0,0.5024361337898341,-4369.0,-3188.0,0.0,16.666666666666664,83.33333333333334
NC_004070.1,TreasureIsland,1900521,22,668521,False,90.01098622496409,100.0,94.74292830457213,99.42641685228051,0.9458676406641833,10651,1182,194240,0,1,22174.5,0.19365454545454547,-29881.0,14468.0,0.0,0.0,0.0
NC_004088.1,TreasureIsland,4600755,54,1062755,False,31.95620273168529,100.0,48.43455945252352,97.98308080948902,0.5595132561312327,8493,18084,870038,0,1,10753.5,0.2831,-241.0,21266.0,50.0,50.0,50.0
NC_004116.1,TreasureIsland,2160267,36,853267,False,20.632536871833953,100.0,34.207250227614786,83.11614001459081,0.4121777478052001,9205,35409,165107,0,1,25397.5,0.15341666666666667,-13031.0,37764.0,0.0,0.0,0.0
NC_004337.1,TreasureIsland,4607203,51,979000,False,81.10476469439563,92.36136205698402,86.36783073184044,97.95398464854532,0.8547733341440265,33227,7741,468939,2748,3,9688.0,0.43466195761856713,-12939.0,2913.0,0.0,0.0,33.33333333333333
NC_004347.1,TreasureIsland,4969803,0,0,True,0.0,0.0,0.0,63.02846887426541,0.0,0,0,89554,52531,0,,,,,,,
NC_004368.1,TreasureIsland,2211485,36,975485,False,71.72802981648961,96.52182536871484,82.29808412456813,89.05196469195108,0.7634364927088658,68128,26853,170265,2455,3,18145.5,0.2790941176470588,-42304.0,5989.0,0.0,16.666666666666664,16.666666666666664
NC_004431.1,TreasureIsland,5231428,36,1217000,False,94.96291211294644,96.57693780968503,95.76312460371187,96.73372618981556,0.9311469928741601,312635,16583,506660,11081,22,27468.5,0.17748636363636364,-32207.0,20791.5,0.0,9.090909090909092,15.909090909090908
NC_004459.2,TreasureIsland,3281944,58,1172944,False,74.18550749989066,93.48445048586491,82.72431729518854,87.42434551101907,0.7425004306700815,50892,17709,96877,3547,2,13668.0,0.29818419501133786,-9548.5,-4268.0,0.0,0.0,0.0
NC_004578.1,TreasureIsland,6397126,80,2091000,False,97.38460931800705,97.2561335801205,97.32032904783016,97.48400621135967,0.9494924372281064,395140,10612,447967,11148,28,16610.0,0.2953843137254902,-17352.0,13295.5,8.928571428571429,12.5,23.214285714285715
NC_004603.1,TreasureIsland,3288558,38,805000,False,84.3492729823493,63.80073375779411,72.64995293114833,77.48158716693017,0.5565666254316783,77560,14391,123373,44006,7,9239.0,0.329102447869447,-14115.0,-1871.0,7.142857142857142,21.428571428571427,28.57142857142857
NC_004606.1,TreasureIsland,1894275,25,577275,False,81.89175698802053,100.0,90.04449497226415,96.7308397860467,0.8874126167924552,22969,5079,127313,0,2,15774.0,0.22267435897435897,-34315.5,9200.0,0.0,0.0,25.0
NC_004631.1,TreasureIsland,4791961,41,941961,False,99.11518115877351,96.18094050258684,97.62601797556565,98.85460997921585,0.9689046116790636,166570,1487,532599,6614,11,20821.0,0.18352857142857143,-24783.0,15501.0,4.545454545454546,13.636363636363635,18.181818181818183
NC_004722.1,TreasureIsland,5411809,29,611000,False,100.0,90.49717355429937,95.01156564772235,99.20678300906638,0.9472100006633117,51549,0,625449,5413,4,12089.0,0.26898333333333335,-21309.5,6223.0,12.5,25.0,25.0
NC_004741.1,TreasureIsland,4599354,54,1088000,False,93.63138294062881,100.0,96.71095823277575,99.31465939130501,0.9639387331684566,52295,3557,463160,0,4,16759.0,0.24564679487179486,-16759.0,20328.0,12.5,12.5,12.5
NC_005071.1,TreasureIsland,2410873,0,0,True,0.0,0.0,0.0,80.88373626196928,0.0,0,0,201208,47554,0,,,,,,,
