accession,method,true_start,true_end,matched,start_err,end_err,mean_err,signed_start_err,signed_end_err,jaccard
NC_000907.1,SAGE-GI-P,1102430,1111034,False,,,,,,0.0
NC_000907.1,Emb-only-P,1102430,1111034,False,,,,,,0.0
NC_000907.1,SAGE-GI-R,1102430,1111034,True,76480.0,13115.0,44797.5,-76480.0,13115.0,0.0876272912423625
NC_000907.1,Emb-only-R,1102430,1111034,True,19680.0,12615.0,16147.5,-19680.0,12615.0,0.2103911980440097
AC_000091.1,SAGE-GI-P,2754784,2768393,True,23784.0,30606.0,27195.0,-23784.0,30606.0,0.2001470588235294
AC_000091.1,SAGE-GI-P,4514466,4523152,True,13466.0,26847.0,20156.5,-13466.0,26847.0,0.1772857142857143
AC_000091.1,Emb-only-P,2754784,2768393,True,23784.0,30606.0,27195.0,-23784.0,30606.0,0.2001470588235294
AC_000091.1,Emb-only-P,4514466,4523152,True,13466.0,26847.0,20156.5,-13466.0,26847.0,0.1772857142857143
AC_000091.1,SAGE-GI-R,2754784,2768393,True,7434.0,32356.0,19895.0,-7434.0,32356.0,0.2548689138576779
AC_000091.1,SAGE-GI-R,4514466,4523152,True,15916.0,28197.0,22056.5,-15916.0,28197.0,0.16452651515151515
AC_000091.1,Emb-only-R,2754784,2768393,True,7434.0,31256.0,19345.0,-7434.0,31256.0,0.26022944550669214
AC_000091.1,Emb-only-R,4514466,4523152,True,13516.0,28197.0,20856.5,-13516.0,28197.0,0.1723611111111111
NC_000913.2,SAGE-GI-P,289659,297701,True,27659.0,26298.0,26978.5,-27659.0,26298.0,0.1297258064516129
NC_000913.2,SAGE-GI-P,2754150,2766804,True,1150.0,31195.0,16172.5,-1150.0,31195.0,0.2812222222222222
NC_000913.2,SAGE-GI-P,4507809,4516495,True,7809.0,26504.0,17156.5,-7809.0,26504.0,0.2020232558139535
NC_000913.2,SAGE-GI-P,4517262,4530587,True,17262.0,12412.0,14837.0,-17262.0,12412.0,0.30990697674418605
NC_000913.2,Emb-only-P,289659,297701,True,27659.0,26298.0,26978.5,-27659.0,26298.0,0.1297258064516129
NC_000913.2,Emb-only-P,2754150,2766804,True,25150.0,31195.0,28172.5,-25150.0,31195.0,0.18340579710144927
NC_000913.2,Emb-only-P,4507809,4516495,True,13809.0,26504.0,20156.5,-13809.0,26504.0,0.1772857142857143
NC_000913.2,Emb-only-P,4517262,4530587,True,23262.0,12412.0,17837.0,-23262.0,12412.0,0.2719591836734694
NC_000913.2,SAGE-GI-R,289659,297701,True,29309.0,56248.0,42778.5,-29309.0,56248.0,0.08592948717948717
NC_000913.2,SAGE-GI-R,2754150,2766804,True,5700.0,30245.0,17972.5,-5700.0,30245.0,0.26039094650205763
NC_000913.2,SAGE-GI-R,4507809,4516495,True,38959.0,33354.0,36156.5,-38959.0,33354.0,0.10724691358024692
NC_000913.2,SAGE-GI-R,4517262,4530587,True,48412.0,19262.0,33837.0,-48412.0,19262.0,0.1645185185185185
NC_000913.2,Emb-only-R,289659,297701,True,29009.0,56248.0,42628.5,-29009.0,56248.0,0.08620578778135048
NC_000913.2,Emb-only-R,2754150,2766804,True,6100.0,31445.0,18772.5,-6100.0,31445.0,0.25209163346613545
NC_000913.2,Emb-only-R,4507809,4516495,True,39359.0,32954.0,36156.5,-39359.0,32954.0,0.10724691358024692
NC_000913.2,Emb-only-R,4517262,4530587,True,48812.0,18862.0,33837.0,-48812.0,18862.0,0.1645185185185185
NC_002516.2,SAGE-GI-P,2765407,2779413,True,9407.0,6586.0,7996.5,-9407.0,6586.0,0.4669
NC_002516.2,SAGE-GI-P,1496896,1516700,True,17896.0,2701.0,10298.5,-17896.0,-2701.0,0.45367496883371794
NC_002516.2,SAGE-GI-P,1840402,1849942,False,,,,,,0.0
NC_002516.2,SAGE-GI-P,1850183,1866277,False,,,,,,0.0
NC_002516.2,SAGE-GI-P,1311422,1324803,False,,,,,,0.0
NC_002516.2,Emb-only-P,2765407,2779413,True,9407.0,6586.0,7996.5,-9407.0,6586.0,0.4669
NC_002516.2,Emb-only-P,1496896,1516700,True,17896.0,2701.0,10298.5,-17896.0,-2701.0,0.45367496883371794
NC_002516.2,Emb-only-P,1840402,1849942,False,,,,,,0.0
NC_002516.2,Emb-only-P,1850183,1866277,False,,,,,,0.0
NC_002516.2,Emb-only-P,1311422,1324803,False,,,,,,0.0
NC_002516.2,SAGE-GI-R,2765407,2779413,True,10957.0,3036.0,6996.5,-10957.0,3036.0,0.50025
NC_002516.2,SAGE-GI-R,1496896,1516700,True,46046.0,5549.0,25797.5,-46046.0,5549.0,0.2773809523809524
NC_002516.2,SAGE-GI-R,1840402,1849942,True,3752.0,20307.0,12029.5,-3752.0,20307.0,0.2839583333333333
NC_002516.2,SAGE-GI-R,1850183,1866277,True,13533.0,3972.0,8752.5,-13533.0,3972.0,0.47901785714285716
NC_002516.2,SAGE-GI-R,1311422,1324803,True,3528.0,70646.0,37087.0,3528.0,70646.0,0.11727043366496882
NC_002516.2,Emb-only-R,2765407,2779413,True,10957.0,3836.0,7396.5,-10957.0,3836.0,0.48635416666666664
NC_002516.2,Emb-only-R,1496896,1516700,True,23146.0,3249.0,13197.5,-23146.0,3249.0,0.42867965367965366
NC_002516.2,Emb-only-R,1840402,1849942,True,9048.0,28207.0,18627.5,9048.0,28207.0,0.013060294585143583
NC_002516.2,Emb-only-R,1850183,1866277,True,733.0,11872.0,6302.5,-733.0,11872.0,0.560801393728223
NC_002516.2,Emb-only-R,1311422,1324803,True,1228.0,64646.0,32937.0,1228.0,64646.0,0.15576459732403752
NC_002655.2,SAGE-GI-P,579581,596828,True,581.0,27171.0,13876.0,-581.0,27171.0,0.3832888888888889
NC_002655.2,SAGE-GI-P,665139,673823,False,,,,,,0.0
NC_002655.2,SAGE-GI-P,904610,918372,True,610.0,13627.0,7118.5,-610.0,13627.0,0.4915357142857143
NC_002655.2,SAGE-GI-P,1109625,1118395,True,15625.0,32604.0,24114.5,-15625.0,32604.0,0.15387719298245614
NC_002655.2,SAGE-GI-P,1261802,1273782,False,,,,,,0.0
