accession,method,genome_len,n_pred,pred_bp,seconds,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
NC_000907.1,SAGE-GI-P,1830138,2,40000,11.4,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,0,,,,,,,
NC_000907.1,Emb-only-P,1830138,1,30000,9.1,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,0,,,,,,,
NC_000907.1,SAGE-GI-R,1830138,23,690500,12.0,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,1,44797.5,0.0876272912423625,-76480.0,13115.0,0.0,0.0,0.0
NC_000907.1,Emb-only-R,1830138,24,668900,10.3,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,1,16147.5,0.2103911980440097,-19680.0,12615.0,0.0,0.0,0.0
AC_000091.1,SAGE-GI-P,4646332,11,455000,35.5,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,25315.5,0.18871638655462186,-18625.0,28726.5,0.0,0.0,0.0
AC_000091.1,Emb-only-P,4646332,11,431000,28.0,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,25315.5,0.18871638655462186,-18625.0,28726.5,0.0,0.0,0.0
AC_000091.1,SAGE-GI-R,4646332,56,1524200,36.9,14.734414442990628,100.0,25.68438513330607,52.953080333702815,0.26812076106251764,22297,129029,122930,0,2,22056.5,0.2096977145045965,-11675.0,30276.5,0.0,0.0,0.0
AC_000091.1,Emb-only-R,4646332,55,1536800,37.5,17.95162874579328,100.0,30.438967120127238,62.84165159558952,0.3269678043395807,22297,101909,150050,0,2,20856.5,0.2162952783089016,-10475.0,29726.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI-P,4639675,11,413000,39.5,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,21780.0,0.24162273901808784,-12535.5,26401.0,0.0,12.5,12.5
NC_000913.2,Emb-only-P,4639675,10,402000,28.5,50.80832232968131,100.0,67.38132424629656,85.31487156904872,0.6481743868080971,42711,41352,197528,0,4,25724.0,0.1803457556935818,-24206.0,26401.0,0.0,0.0,0.0
NC_000913.2,SAGE-GI-R,4639675,58,1638700,41.7,24.754833773821115,100.0,39.685570530599726,53.89589866153393,0.33617305671701403,42711,129825,109055,0,4,31799.5,0.1358827160493827,-34134.0,31799.5,0.0,0.0,0.0
NC_000913.2,Emb-only-R,4639675,51,1504600,47.2,30.34723357088553,100.0,46.563678782460805,65.18709759899997,0.4230075161188454,42711,98030,140850,0,4,32199.5,0.1358827160493827,-34184.0,32199.5,0.0,0.0,0.0
NC_002516.2,SAGE-GI-P,6264404,9,350000,59.8,42.67392735652365,42.7172868323493,42.695596086019734,70.54499795431781,0.22873812685909847,31111,41793,168901,41719,2,7996.5,0.46028748441685896,-13651.5,1942.5,0.0,0.0,25.0
NC_002516.2,Emb-only-P,6264404,8,251200,40.3,48.91205232210798,42.7172868323493,45.605265472455955,73.82443814280273,0.28587494482738884,31111,32495,178199,41719,2,7996.5,0.46028748441685896,-13651.5,1942.5,0.0,0.0,25.0
NC_002516.2,SAGE-GI-R,6264404,74,2185700,74.4,33.672477795269465,95.15584237264864,49.74268057220376,50.6080613986823,0.2974253412942533,69302,136510,74184,3528,5,8253.0,0.2839583333333333,-10957.0,5549.0,0.0,0.0,40.0
NC_002516.2,Emb-only-R,6264404,76,2035700,41.6,29.340250091462554,85.89042976795277,43.739162051798395,43.241489256641415,0.14557544249801133,62554,150648,60046,10276,5,10002.5,0.42867965367965366,-733.0,11872.0,10.0,20.0,40.0
NC_002655.2,SAGE-GI-P,5528445,17,683000,50.9,97.91005871828769,70.40989774391637,81.9134862835291,88.52102414009066,0.7598432685622345,209599,4474,504177,88085,14,11764.0,0.24223854684284618,-5317.0,11940.0,17.857142857142858,25.0,25.0
NC_002655.2,Emb-only-P,5528445,16,673000,75.6,97.85734126413992,68.64057188159256,80.68550218168177,87.86782168701595,0.7464770529808592,204332,4474,504177,93352,14,13451.0,0.24223854684284618,-12317.0,11940.0,14.285714285714285,17.857142857142858,17.857142857142858
NC_002655.2,SAGE-GI-R,5528445,52,2001300,57.1,69.63433575986676,100.0,82.09934085330538,83.90098408229831,0.7201601865051451,297684,129812,378839,0,19,27469.5,0.18642390289449112,-24543.0,28567.0,0.0,5.263157894736842,18.421052631578945
NC_002655.2,Emb-only-R,5528445,50,2016100,47.3,71.66460031055527,100.0,83.49374324223884,85.40296526877786,0.7421693226265653,297684,117701,390950,0,19,25030.5,0.20692573402417963,-24443.0,29595.0,0.0,5.263157894736842,13.157894736842104
NC_002758.2,SAGE-GI-P,2878529,7,261000,30.0,100.0,100.0,100.0,100.0,1.0,28309,0,242693,0,1,12845.5,0.5242407407407408,-2.0,25689.0,50.0,50.0,50.0
NC_002758.2,Emb-only-P,2878529,7,298000,23.8,100.0,100.0,100.0,100.0,1.0,28309,0,242693,0,1,14845.5,0.48808620689655174,-2.0,29689.0,50.0,50.0,50.0
NC_002758.2,SAGE-GI-R,2878529,33,1059100,28.6,25.621786981391644,100.0,40.791947952765554,69.67586955077823,0.41165419145153154,28309,82179,160514,0,1,36495.5,0.27945705824284306,-37152.0,35839.0,0.0,0.0,0.0
NC_002758.2,Emb-only-R,2878529,33,947100,23.6,22.68367534996274,100.0,36.979125845808184,64.39509671515339,0.3696632083820516,28309,96490,146203,0,1,24295.5,0.36812743823146943,-12652.0,35939.0,0.0,0.0,0.0
NC_002695.1,SAGE-GI-P,5498450,17,665000,51.8,97.91069294367036,53.256839255426726,68.98854482351128,79.84928594911797,0.6161079445830043,199073,4248,510126,174725,13,9874.0,0.30734545454545453,-1900.0,8567.0,7.6923076923076925,23.076923076923077,38.46153846153847
NC_002695.1,Emb-only-P,5498450,15,724000,43.6,100.0,57.66858035623519,73.1516453385186,82.18430664330782,0.6640918035540828,215564,0,514374,158234,13,9874.0,0.25661702127659575,-5951.0,13560.0,11.538461538461538,23.076923076923077,34.61538461538461
NC_002695.1,SAGE-GI-R,5498450,55,1988500,44.0,74.71695316215666,97.08398653818372,84.44447029942,84.94672203131826,0.7260711949122667,362898,122799,391575,10900,22,16779.0,0.2753187625995272,-15722.0,19364.0,0.0,4.545454545454546,20.454545454545457
NC_002695.1,Emb-only-R,5498450,49,1955900,34.2,79.16442824664021,98.5553694776323,87.80202965837104,88.47520525303658,0.7879102816737643,368398,96960,417414,5400,22,16357.5,0.21772500384704163,-15280.0,18263.0,0.0,9.090909090909092,20.454545454545457
NC_002944.2,SAGE-GI-P,4829781,10,262900,39.3,100.0,86.02888478662179,92.48981402570719,90.24312559719716,0.8062440258475237,39612,0,19888,6433,3,13805.0,0.2373780784035278,2759.0,40439.0,0.0,0.0,33.33333333333333
NC_002944.2,Emb-only-P,4829781,6,178000,33.5,100.0,86.02888478662179,92.48981402570719,90.24312559719716,0.8062440258475237,39612,0,19888,6433,3,12805.0,0.2565531725837069,2759.0,40439.0,0.0,0.0,33.33333333333333
NC_002944.2,SAGE-GI-R,4829781,54,1558000,43.1,70.35786321129515,100.0,82.60007713765484,70.57770767294072,0.13152708485266743,46045,19399,489,0,3,19444.5,0.1898125,-14012.0,42489.0,16.666666666666664,16.666666666666664,16.666666666666664
NC_002944.2,Emb-only-R,4829781,50,1509600,40.9,77.07050080342796,100.0,87.05063853519742,79.22284743603355,0.48973233114709114,46045,13699,6189,0,3,19794.5,0.1870841889117043,-14412.0,45489.0,16.666666666666664,16.666666666666664,16.666666666666664
NC_002947.3,SAGE-GI-P,6181863,16,686000,46.2,85.90472857929257,62.35693155946536,72.26082961218717,73.23821479589628,0.4993770259451395,201310,33031,221659,121525,12,14133.5,0.2732903225806452,-14846.0,9580.5,25.0,33.33333333333333,33.33333333333333
NC_002947.3,Emb-only-P,6181863,14,649000,30.7,84.58950923994942,56.16181640776248,67.50487735863106,69.7751612484308,0.44390577381620505,181310,33031,221659,141525,11,17616.0,0.2645161290322581,-16370.0,10227.0,27.27272727272727,31.818181818181817,31.818181818181817
NC_002947.3,SAGE-GI-R,6181863,60,2229800,55.1,68.99325190982523,86.80688277293355,76.88169388113423,70.81719406086316,0.4060413827715777,280243,125946,128744,42592,17,18626.0,0.19490173410404624,-25872.0,15157.0,2.941176470588235,2.941176470588235,17.647058823529413
NC_002947.3,Emb-only-R,6181863,60,2186500,34.8,68.96462869545395,86.21865658927935,76.63244952432345,70.60715986320939,0.4008499336868577,278344,125260,129430,44491,17,20998.0,0.18628729281767956,-25972.0,18257.0,0.0,2.941176470588235,17.647058823529413
NC_003047.1,SAGE-GI-P,3654135,6,213000,37.4,78.07659668963986,80.11751588987362,79.08389097306458,93.28902652609115,0.7509689587214404,98446,27643,625433,24431,5,8751.0,0.4354193548387097,-9205.0,8297.0,10.0,40.0,40.0
NC_003047.1,Emb-only-P,3654135,5,179000,30.7,75.44830403851107,69.13254718132767,72.15247931778416,91.54948817776334,0.6727186138219978,84948,27643,625433,37929,4,10123.5,0.33923039300294333,-8050.5,29145.0,12.5,50.0,50.0
NC_003047.1,SAGE-GI-R,3654135,42,1281600,37.7,40.153666666666666,98.03380616388746,56.97212191724781,76.55077047192292,0.5288414199887951,120461,179539,473537,2416,7,11601.0,0.27651278409090907,-10408.0,18110.0,0.0,14.285714285714285,21.428571428571427
NC_003047.1,Emb-only-R,3654135,40,1208200,24.8,45.7427799245047,100.0,62.771932782124274,81.21677472733529,0.5961058765675451,122877,145749,507327,0,7,13532.5,0.35555251141552513,-10755.0,16310.0,7.142857142857142,14.285714285714285,28.57142857142857
NC_003197.1,SAGE-GI-P,4857432,11,492000,47.7,70.0056319897015,85.98144694096867,77.17543752667845,93.03504216393608,0.7365457758237947,69608,29824,480364,11349,5,22492.0,0.24994117647058822,-21799.0,23185.0,10.0,10.0,40.0
NC_003197.1,Emb-only-P,4857432,12,473400,26.9,70.0056319897015,85.98144694096867,77.17543752667845,93.03504216393608,0.7365457758237947,69608,29824,480364,11349,5,22492.0,0.24994117647058822,-21799.0,23185.0,10.0,10.0,40.0
NC_003197.1,SAGE-GI-R,4857432,61,1709700,43.3,34.17060611176769,100.0,50.93605388247655,73.61679452587775,0.4870805927771743,80957,155963,354225,0,6,24292.0,0.2647457332612557,-16226.5,28398.5,8.333333333333332,8.333333333333332,8.333333333333332
NC_003197.1,Emb-only-R,4857432,61,1595600,32.5,38.493395589451964,100.0,55.58878158141387,78.11755153135017,0.5360362228190844,80957,129357,380831,0,6,26224.5,0.2585797480742284,-19176.5,31071.0,8.333333333333332,8.333333333333332,8.333333333333332
