accession,method,true_start,true_end,matched,start_err,end_err,mean_err,signed_start_err,signed_end_err,jaccard
NC_000907.1,SSG-LUGIA-P,1102430,1111034,False,,,,,,0.0
NC_000907.1,SSG-LUGIA-P+center,1102430,1111034,False,,,,,,0.0
NC_000907.1,SSG-LUGIA-F,1102430,1111034,False,,,,,,0.0
NC_000907.1,SSG-LUGIA-F+center,1102430,1111034,False,,,,,,0.0
NC_000907.1,SSG-LUGIA-R,1102430,1111034,True,68030.0,135.0,34082.5,-68030.0,-135.0,0.11052391205062961
NC_000907.1,SSG-LUGIA-R+center,1102430,1111034,True,63080.0,4815.0,33947.5,-63080.0,4815.0,0.11248366013071895
AC_000091.1,SSG-LUGIA-P,2754784,2768393,True,5484.0,13406.0,9445.0,-5484.0,13406.0,0.4187692307692308
AC_000091.1,SSG-LUGIA-P,4514466,4523152,True,7066.0,23247.0,15156.5,-7066.0,23247.0,0.22274358974358974
AC_000091.1,SSG-LUGIA-P+center,2754784,2768393,True,534.0,18356.0,9445.0,-534.0,18356.0,0.4187692307692308
AC_000091.1,SSG-LUGIA-P+center,4514466,4523152,True,2116.0,28197.0,15156.5,-2116.0,28197.0,0.22274358974358974
AC_000091.1,SSG-LUGIA-F,2754784,2768393,True,5784.0,14606.0,10195.0,-5784.0,14606.0,0.4002941176470588
AC_000091.1,SSG-LUGIA-F,4514466,4523152,True,23466.0,25447.0,24456.5,-23466.0,25447.0,0.15081597222222223
AC_000091.1,SSG-LUGIA-F+center,2754784,2768393,True,834.0,19556.0,10195.0,-834.0,19556.0,0.4002941176470588
AC_000091.1,SSG-LUGIA-F+center,4514466,4523152,True,18516.0,30397.0,24456.5,-18516.0,30397.0,0.15081597222222223
AC_000091.1,SSG-LUGIA-R,2754784,2768393,True,19184.0,26806.0,22995.0,-19184.0,26806.0,0.22835570469798658
AC_000091.1,SSG-LUGIA-R,4514466,4523152,True,32666.0,58447.0,45556.5,-32666.0,58447.0,0.0870440881763527
AC_000091.1,SSG-LUGIA-R+center,2754784,2768393,True,14234.0,31756.0,22995.0,-14234.0,31756.0,0.22835570469798658
AC_000091.1,SSG-LUGIA-R+center,4514466,4523152,True,27716.0,63397.0,45556.5,-27716.0,63397.0,0.0870440881763527
NC_000913.2,SSG-LUGIA-P,289659,297701,True,29659.0,19098.0,24378.5,-29659.0,19098.0,0.14160211267605632
NC_000913.2,SSG-LUGIA-P,2754150,2766804,True,4650.0,13995.0,9322.5,-4650.0,13995.0,0.40431309904153356
NC_000913.2,SSG-LUGIA-P,4507809,4516495,True,7909.0,22604.0,15256.5,-7909.0,22604.0,0.22160714285714286
NC_000913.2,SSG-LUGIA-P,4517262,4530587,True,17362.0,8512.0,12937.0,-17362.0,8512.0,0.33994897959183673
NC_000913.2,SSG-LUGIA-P+center,289659,297701,True,24709.0,24048.0,24378.5,-24709.0,24048.0,0.14160211267605632
NC_000913.2,SSG-LUGIA-P+center,2754150,2766804,True,300.0,18945.0,9622.5,300.0,18945.0,0.3909810126582278
NC_000913.2,SSG-LUGIA-P+center,4507809,4516495,True,2959.0,27554.0,15256.5,-2959.0,27554.0,0.22160714285714286
NC_000913.2,SSG-LUGIA-P+center,4517262,4530587,True,12412.0,13462.0,12937.0,-12412.0,13462.0,0.33994897959183673
NC_000913.2,SSG-LUGIA-F,289659,297701,True,31359.0,19398.0,25378.5,-31359.0,19398.0,0.1367857142857143
NC_000913.2,SSG-LUGIA-F,2754150,2766804,True,5850.0,15595.0,10722.5,-5850.0,15595.0,0.37111436950146626
NC_000913.2,SSG-LUGIA-F,4507809,4516495,True,23309.0,24504.0,23906.5,-23309.0,24504.0,0.15375221238938053
NC_000913.2,SSG-LUGIA-F,4517262,4530587,True,32762.0,10412.0,21587.0,-32762.0,10412.0,0.235858407079646
NC_000913.2,SSG-LUGIA-F+center,289659,297701,True,26409.0,24348.0,25378.5,-26409.0,24348.0,0.1367857142857143
NC_000913.2,SSG-LUGIA-F+center,2754150,2766804,True,900.0,20545.0,10722.5,-900.0,20545.0,0.37111436950146626
NC_000913.2,SSG-LUGIA-F+center,4507809,4516495,True,18359.0,29454.0,23906.5,-18359.0,29454.0,0.15375221238938053
NC_000913.2,SSG-LUGIA-F+center,4517262,4530587,True,27812.0,15362.0,21587.0,-27812.0,15362.0,0.235858407079646
NC_000913.2,SSG-LUGIA-R,289659,297701,True,37659.0,33798.0,35728.5,-37659.0,33798.0,0.10116981132075471
NC_000913.2,SSG-LUGIA-R,2754150,2766804,True,19150.0,27595.0,23372.5,-19150.0,27595.0,0.21304713804713804
NC_000913.2,SSG-LUGIA-R,4507809,4516495,True,32609.0,58604.0,45606.5,-32609.0,58604.0,0.08695695695695696
NC_000913.2,SSG-LUGIA-R,4517262,4530587,True,42062.0,44512.0,43287.0,-42062.0,44512.0,0.1333933933933934
NC_000913.2,SSG-LUGIA-R+center,289659,297701,True,32709.0,38748.0,35728.5,-32709.0,38748.0,0.10116981132075471
NC_000913.2,SSG-LUGIA-R+center,2754150,2766804,True,14200.0,32545.0,23372.5,-14200.0,32545.0,0.21304713804713804
NC_000913.2,SSG-LUGIA-R+center,4507809,4516495,True,27659.0,63554.0,45606.5,-27659.0,63554.0,0.08695695695695696
NC_000913.2,SSG-LUGIA-R+center,4517262,4530587,True,37112.0,49462.0,43287.0,-37112.0,49462.0,0.1333933933933934
NC_002516.2,SSG-LUGIA-P,2765407,2779413,True,15307.0,4014.0,9660.5,-15307.0,-4014.0,0.34089513543016986
NC_002516.2,SSG-LUGIA-P,1496896,1516700,True,16596.0,13301.0,14948.5,-16596.0,-13301.0,0.17867640998873657
NC_002516.2,SSG-LUGIA-P,1840402,1849942,False,,,,,,0.0
NC_002516.2,SSG-LUGIA-P,1850183,1866277,False,,,,,,0.0
