accession,method,start,end
NC_000913.2,Comp-only,258301,317100
NC_000913.2,Comp-only,557801,582800
NC_000913.2,Comp-only,1189101,1222400
NC_000913.2,Comp-only,1567501,1592900
NC_000913.2,Comp-only,2034401,2087700
NC_000913.2,Comp-only,2101201,2113200
NC_000913.2,Comp-only,2459001,2484800
NC_000913.2,Comp-only,2748301,2782400
NC_000913.2,Comp-only,3422901,3436600
NC_000913.2,Comp-only,3609301,3635900
NC_000913.2,Comp-only,4156601,4194500
NC_000913.2,Comp-only,4484501,4541000
NC_000913.2,Comp-only+center,263251,322050
NC_000913.2,Comp-only+center,562751,587750
NC_000913.2,Comp-only+center,1194051,1227350
NC_000913.2,Comp-only+center,1572451,1597850
NC_000913.2,Comp-only+center,2039351,2092650
NC_000913.2,Comp-only+center,2106151,2118150
NC_000913.2,Comp-only+center,2463951,2489750
NC_000913.2,Comp-only+center,2753251,2787350
NC_000913.2,Comp-only+center,3427851,3441550
NC_000913.2,Comp-only+center,3614251,3640850
NC_000913.2,Comp-only+center,4161551,4199450
NC_000913.2,Comp-only+center,4489451,4545950
NC_000913.2,DNABERT-2-only,263001,337000
NC_000913.2,DNABERT-2-only,566001,585000
NC_000913.2,DNABERT-2-only,1192001,1222000
NC_000913.2,DNABERT-2-only,1409001,1434000
NC_000913.2,DNABERT-2-only,1568001,1596000
NC_000913.2,DNABERT-2-only,2031001,2098000
NC_000913.2,DNABERT-2-only,2461001,2491000
NC_000913.2,DNABERT-2-only,2731001,2786000
NC_000913.2,DNABERT-2-only,3303001,3318000
NC_000913.2,DNABERT-2-only,3416001,3473000
NC_000913.2,DNABERT-2-only,3615001,3625000
NC_000913.2,DNABERT-2-only,3907001,3945000
NC_000913.2,DNABERT-2-only,4164001,4204000
NC_000913.2,DNABERT-2-only,4503001,4553000
NC_000913.2,DNABERT-S-only,244001,357000
NC_000913.2,DNABERT-S-only,565001,586000
NC_000913.2,DNABERT-S-only,1191001,1219000
NC_000913.2,DNABERT-S-only,1409001,1434000
NC_000913.2,DNABERT-S-only,1577001,1598000
NC_000913.2,DNABERT-S-only,1629001,1648000
NC_000913.2,DNABERT-S-only,2031001,2097000
NC_000913.2,DNABERT-S-only,2459001,2487000
NC_000913.2,DNABERT-S-only,2729001,2798000
NC_000913.2,DNABERT-S-only,3429001,3479000
NC_000913.2,DNABERT-S-only,3585001,3633000
NC_000913.2,DNABERT-S-only,3913001,3939000
NC_000913.2,DNABERT-S-only,4165001,4204000
NC_000913.2,DNABERT-S-only,4494001,4543000
NC_000913.2,SAGE-GI,240001,324000
NC_000913.2,SAGE-GI,565001,586000
NC_000913.2,SAGE-GI,1190001,1219000
NC_000913.2,SAGE-GI,1409001,1473000
NC_000913.2,SAGE-GI,1575001,1598000
NC_000913.2,SAGE-GI,1629001,1648000
NC_000913.2,SAGE-GI,2031001,2097000
NC_000913.2,SAGE-GI,2459001,2488000
NC_000913.2,SAGE-GI,2729001,2798000
NC_000913.2,SAGE-GI,3429001,3479000
NC_000913.2,SAGE-GI,3617001,3633000
NC_000913.2,SAGE-GI,4165001,4204000
NC_000913.2,SAGE-GI,4494001,4543000
NC_000913.2,SAGE-GI(D2),263001,337000
NC_000913.2,SAGE-GI(D2),565001,585000
NC_000913.2,SAGE-GI(D2),1192001,1222000
NC_000913.2,SAGE-GI(D2),1409001,1434000
NC_000913.2,SAGE-GI(D2),1568001,1596000
NC_000913.2,SAGE-GI(D2),2031001,2098000
NC_000913.2,SAGE-GI(D2),2461001,2491000
NC_000913.2,SAGE-GI(D2),2729001,2786000
NC_000913.2,SAGE-GI(D2),3296951,3309850
NC_000913.2,SAGE-GI(D2),3416001,3473000
NC_000913.2,SAGE-GI(D2),3635001,3656000
NC_000913.2,SAGE-GI(D2),4164001,4188000
NC_000913.2,SAGE-GI(D2),4503001,4521000
NC_000913.2,SAGE-GI/detrend=250kb,1001,93000
NC_000913.2,SAGE-GI/detrend=250kb,262001,311000
NC_000913.2,SAGE-GI/detrend=250kb,566001,586000
NC_000913.2,SAGE-GI/detrend=250kb,1190001,1219000
NC_000913.2,SAGE-GI/detrend=250kb,1408001,1434000
NC_000913.2,SAGE-GI/detrend=250kb,1569001,1598000
NC_000913.2,SAGE-GI/detrend=250kb,2031001,2098000
NC_000913.2,SAGE-GI/detrend=250kb,2459001,2495000
NC_000913.2,SAGE-GI/detrend=250kb,2729001,2798000
NC_000913.2,SAGE-GI/detrend=250kb,3615001,3633000
NC_000913.2,SAGE-GI/detrend=250kb,4164001,4206000
NC_000913.2,SAGE-GI/detrend=250kb,4500001,4522000
NC_000913.2,SAGE-GI/detrend=250kb,4543001,4638000
NC_000913.2,SAGE-GI/no-refine,256351,333450
NC_000913.2,SAGE-GI/no-refine,564251,587250
NC_000913.2,SAGE-GI/no-refine,1193951,1224050
NC_000913.2,SAGE-GI/no-refine,1406251,1477250
NC_000913.2,SAGE-GI/no-refine,1573451,1597950
NC_000913.2,SAGE-GI/no-refine,1628351,1648650
NC_000913.2,SAGE-GI/no-refine,2038451,2093850
NC_000913.2,SAGE-GI/no-refine,2462451,2490650
NC_000913.2,SAGE-GI/no-refine,2740251,2789650
NC_000913.2,SAGE-GI/no-refine,3425751,3469750
NC_000913.2,SAGE-GI/no-refine,3608751,3646150
NC_000913.2,SAGE-GI/no-refine,4160751,4201850
NC_000913.2,SAGE-GI/no-refine,4486351,4543550
NC_000913.2,SAGE-GI/start-assign,244001,324000
NC_000913.2,SAGE-GI/start-assign,565001,586000
NC_000913.2,SAGE-GI/start-assign,1191001,1219000
NC_000913.2,SAGE-GI/start-assign,1409001,1473000
NC_000913.2,SAGE-GI/start-assign,1578001,1598000
NC_000913.2,SAGE-GI/start-assign,1629001,1648000
NC_000913.2,SAGE-GI/start-assign,2031001,2099000
NC_000913.2,SAGE-GI/start-assign,2463001,2495000
NC_000913.2,SAGE-GI/start-assign,2729001,2798000
NC_000913.2,SAGE-GI/start-assign,3421001,3479000
NC_000913.2,SAGE-GI/start-assign,3615001,3633000
NC_000913.2,SAGE-GI/start-assign,4165001,4206000
NC_000913.2,SAGE-GI/start-assign,4471001,4543000
NC_000913.2,SAGE-GI/d=4,265001,311000
NC_000913.2,SAGE-GI/d=4,566001,595000
NC_000913.2,SAGE-GI/d=4,1196001,1239000
NC_000913.2,SAGE-GI/d=4,1416001,1431000
NC_000913.2,SAGE-GI/d=4,1457001,1482000
NC_000913.2,SAGE-GI/d=4,1576001,1595000
NC_000913.2,SAGE-GI/d=4,2025001,2109000
