accession,method,genome_len,n_pred,pred_bp,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
NC_000907.1,SSG-LUGIA-P,1830138,3,70600,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,0,,,,,,,
NC_000907.1,SSG-LUGIA-P+center,1830138,3,70600,0.0,0.0,0.0,49.976746889896525,0.0,0,0,8597,8605,0,,,,,,,
NC_000907.1,SSG-LUGIA-F,1830138,6,131100,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,0,,,,,,,
NC_000907.1,SSG-LUGIA-F+center,1830138,6,131100,0.0,0.0,0.0,0.0,-1.0,0,8597,0,8605,0,,,,,,,
NC_000907.1,SSG-LUGIA-R,1830138,14,485300,49.62793695435636,98.43114468332365,65.9862885634154,49.23846064411115,-0.0888968384820936,8470,8597,0,135,1,34082.5,0.11052391205062961,-68030.0,-135.0,50.0,50.0,50.0
NC_000907.1,SSG-LUGIA-R+center,1830138,14,485300,50.02325311010347,100.0,66.687332894176,50.02325311010347,0.0,8605,8597,0,0,1,33947.5,0.11248366013071895,-63080.0,4815.0,0.0,0.0,50.0
AC_000091.1,SSG-LUGIA-P,4646332,10,286200,44.394225983076154,100.0,61.49030638978517,89.81681348812788,0.6282787411972707,22297,27928,224031,0,2,10236.0,0.3207564102564103,-6275.0,18326.5,0.0,0.0,0.0
AC_000091.1,SSG-LUGIA-P+center,4646332,10,286200,54.15968325681945,100.0,70.26439353354552,93.11883787410304,0.707835183851086,22297,18872,233087,0,2,10236.0,0.3207564102564103,-1325.0,23276.5,25.0,50.0,50.0
AC_000091.1,SSG-LUGIA-F,4646332,12,423800,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,19036.0,0.2755550449346405,-14625.0,20026.5,0.0,0.0,0.0
AC_000091.1,SSG-LUGIA-F+center,4646332,12,423800,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,19036.0,0.2755550449346405,-9675.0,24976.5,25.0,25.0,25.0
AC_000091.1,SSG-LUGIA-R,4646332,31,1390600,19.37875350906926,100.0,32.466000757156586,66.17685665947144,0.34991730514446906,22297,92762,159197,0,2,29736.0,0.15769989643716964,-25925.0,42626.5,0.0,0.0,0.0
AC_000091.1,SSG-LUGIA-R+center,4646332,31,1390600,19.199373137926877,100.0,32.213882728579584,65.78488711277055,0.34711608269277416,22297,93837,158122,0,2,29736.0,0.15769989643716964,-20975.0,47576.5,0.0,0.0,0.0
NC_000913.2,SSG-LUGIA-P,4639675,10,308400,74.48856799037304,100.0,85.37931034482759,94.80523170129727,0.8362248704940959,42711,14628,224252,0,4,15678.5,0.2807780612244898,-12635.5,16546.5,0.0,0.0,12.5
NC_000913.2,SSG-LUGIA-P+center,4639675,10,308400,68.41697720563326,99.29760483247875,81.01432664756446,92.94082552354301,0.7886994514682263,42411,19578,219302,300,4,16203.5,0.2807780612244898,-7685.5,21496.5,12.5,12.5,25.0
NC_000913.2,SSG-LUGIA-F,4639675,12,402300,72.09946150340147,100.0,83.7881314369789,94.13049422744335,0.8192126226896117,42711,16528,222352,0,4,21353.5,0.19480530973451327,-27334.0,17496.5,0.0,0.0,0.0
NC_000913.2,SSG-LUGIA-F+center,4639675,12,402300,66.53943822150212,100.0,79.90832553788587,92.37262554556077,0.7781824592573426,42711,21478,217402,0,4,22446.5,0.19480530973451327,-22384.0,22446.5,12.5,12.5,12.5
NC_000913.2,SSG-LUGIA-R,4639675,29,1361800,31.692946981783106,100.0,48.13157835425635,67.30932451676368,0.4413599284801323,42711,92054,146826,0,4,35728.5,0.11728160235707405,-35134.0,39155.0,0.0,0.0,0.0
NC_000913.2,SSG-LUGIA-R+center,4639675,29,1361800,30.349174317141802,100.0,46.565963269244406,65.19029372387611,0.4230345566847453,42711,98021,140859,0,4,34910.5,0.11728160235707405,-30184.0,44105.0,0.0,0.0,0.0
NC_002516.2,SSG-LUGIA-P,6264404,12,342600,22.056876980466086,22.65137992585473,22.35017578561606,59.56991295269536,-0.04974130173157749,16497,58296,152398,56333,2,14304.0,0.25978577270945324,-15951.5,-8657.5,0.0,0.0,25.0
NC_002516.2,SSG-LUGIA-P+center,6264404,12,342600,31.559180435564038,34.95949471371688,33.17242861889034,63.81787785161045,0.08475542578723602,25461,55216,155478,47369,2,9354.0,0.458910961062085,-11001.5,-3707.5,25.0,25.0,25.0
NC_002516.2,SSG-LUGIA-F,6264404,14,445200,23.748327978698136,26.084031305780584,24.861441013460016,59.49937218718697,-0.027823878162318506,18997,60996,149698,53833,2,13604.0,0.2872611029239927,-16851.5,-7407.5,0.0,0.0,25.0
NC_002516.2,SSG-LUGIA-F+center,6264404,14,445200,32.974513029587776,37.98022792805163,35.30079889736849,64.2379481102129,0.10811502531009277,27661,56225,154469,45169,2,8654.0,0.47566281575578284,-11901.5,-2457.5,0.0,25.0,25.0
NC_002516.2,SSG-LUGIA-R,6264404,47,1925200,34.7006160633883,100.0,51.52257959541723,51.661587731550064,0.34826372790352567,72830,137051,73643,0,5,16841.0,0.23793017456359103,-19683.0,13999.0,10.0,10.0,30.0
NC_002516.2,SSG-LUGIA-R+center,6264404,47,1925200,35.18105406749847,94.1946999862694,51.22859159084035,53.92876793498963,0.32249068771749595,68602,126395,84299,4228,5,16841.0,0.23793017456359103,-14733.0,18949.0,0.0,0.0,20.0
NC_002655.2,SSG-LUGIA-P,5528445,16,504700,100.0,63.395412585157416,77.59754277326164,86.48626191347269,0.7225688694949732,188718,0,508651,108966,12,8462.0,0.4522682302879566,-6209.5,7408.0,8.333333333333332,16.666666666666664,37.5
NC_002655.2,SSG-LUGIA-P+center,5528445,16,504700,100.0,61.44401445828463,76.11804583087977,85.76584174071571,0.7080391749989383,182909,0,508651,114775,12,8253.5,0.3820721626596194,-1259.5,12358.0,8.333333333333332,16.666666666666664,29.166666666666668
NC_002655.2,SSG-LUGIA-F,5528445,19,792600,97.98542053784739,80.59956195159968,88.44620485891598,92.22593587032685,0.8356729992744037,239932,4933,503718,57752,15,11116.5,0.30958656330749357,-8410.0,11145.0,3.3333333333333335,6.666666666666667,16.666666666666664
NC_002655.2,SSG-LUGIA-F+center,5528445,19,792600,96.09585171900245,81.7168541137582,88.32496709481232,92.02453074714604,0.8295229219567191,243258,9883,498768,54426,16,12787.0,0.2734647792382878,-12787.0,13086.0,6.25,15.625,21.875
NC_002655.2,SSG-LUGIA-R,5528445,27,1657700,89.43331347458944,92.7873180956988,91.07944840503056,93.28988571747475,0.857420825496095,276213,32635,476016,21471,18,26211.0,0.1360506411662888,-28014.0,25091.5,0.0,0.0,2.7777777777777777
NC_002655.2,SSG-LUGIA-R+center,5528445,27,1657700,87.5327353272309,96.11299230056034,91.62242133510955,93.51113370993446,0.8659759531835325,286113,40751,467900,11571,18,28823.0,0.1360506411662888,-23064.0,30041.5,5.555555555555555,8.333333333333332,8.333333333333332
NC_002695.1,SSG-LUGIA-P,5498450,15,511500,100.0,48.873188192553194,65.65747504425097,78.4826587642934,0.5969403657688863,182687,0,514374,191111,11,8235.5,0.5330376751028763,-7737.0,4660.0,4.545454545454546,4.545454545454546,31.818181818181817
NC_002695.1,SSG-LUGIA-P+center,5498450,15,511500,100.0,48.509087796082376,65.32810687341927,78.32942267939093,0.594139813702897,181326,0,514374,192472,12,10754.5,0.36250037479797026,-3021.5,9412.5,8.333333333333332,12.5,25.0
NC_002695.1,SSG-LUGIA-F,5498450,18,766500,100.0,72.95598157293512,84.36364086334852,88.61819557473102,0.7808518239405587,272708,0,514374,101090,16,9094.0,0.4049524691358025,-9094.0,6462.5,3.125,12.5,21.875
NC_002695.1,SSG-LUGIA-F+center,5498450,18,766500,100.0,74.90221991556936,85.65039363334205,89.43729367735078,0.795916610298843,279983,0,514374,93815,17,9418.0,0.2680222222222222,-4401.0,11110.0,8.823529411764707,11.76470588235294,35.294117647058826
NC_002695.1,SSG-LUGIA-R,5498450,27,1642300,92.65393911173196,89.43012001134304,91.01349051852054,92.56743063280535,0.8471866328008963,334288,26504,487870,39510,21,21483.0,0.1908386075949367,-22151.0,20245.0,0.0,0.0,7.142857142857142
NC_002695.1,SSG-LUGIA-R+center,5498450,27,1642300,91.85207635537526,94.85952305790828,93.33157856639929,94.29513652760951,0.883842353898681,354583,31454,482920,19215,21,18575.0,0.1908386075949367,-17201.0,25195.0,2.380952380952381,14.285714285714285,16.666666666666664
NC_002758.2,SSG-LUGIA-P,2878529,7,206600,100.0,100.0,100.0,100.0,1.0,28309,0,242693,0,1,14445.5,0.4949125874125874,-7302.0,21589.0,0.0,0.0,0.0
NC_002758.2,SSG-LUGIA-P+center,2878529,7,206600,100.0,100.0,100.0,100.0,1.0,28309,0,242693,0,1,14445.5,0.4949125874125874,-2352.0,26539.0,0.0,50.0,50.0
NC_002758.2,SSG-LUGIA-F,2878529,8,279600,82.41579085271769,100.0,90.36036898720036,97.7712341606335,0.8964634702069895,28309,6040,236653,0,1,16245.5,0.46560855263157896,-9402.0,23089.0,0.0,0.0,0.0
NC_002758.2,SSG-LUGIA-F+center,2878529,8,279600,96.29239089764958,100.0,98.1111804255909,99.59778894620705,0.9790807713764244,28309,1090,241603,0,1,16245.5,0.46560855263157896,-4452.0,28039.0,0.0,0.0,50.0
NC_002758.2,SSG-LUGIA-R,2878529,21,880100,24.34470778438994,100.0,39.15680565449226,67.53713994730666,0.39395269816676814,28309,87975,154718,0,1,53745.5,0.20846097201767305,-33302.0,74189.0,0.0,0.0,0.0
NC_002758.2,SSG-LUGIA-R+center,2878529,21,880100,22.591173888755886,100.0,36.8561180583131,64.20653722112752,0.3682634578720812,28309,97001,145692,0,1,53745.5,0.20846097201767305,-28352.0,79139.0,0.0,0.0,0.0
NC_003047.1,SSG-LUGIA-P,3654135,4,168200,68.61840704735064,55.08760793313638,61.113017099727344,88.89829667518524,0.5517724585677484,67690,30957,622119,55187,3,40853.0,0.21249727371864777,-28943.0,53486.0,16.666666666666664,16.666666666666664,16.666666666666664
NC_003047.1,SSG-LUGIA-P+center,3654135,4,168200,62.36008365040029,55.08760793313638,58.49868639380531,87.62244620486035,0.5139412199056727,67690,40857,612219,55187,3,35903.0,0.21249727371864777,-23993.0,58436.0,0.0,0.0,33.33333333333333
NC_003047.1,SSG-LUGIA-F,3654135,7,249000,66.71804348680848,69.04628205441213,67.86219915054271,89.64396039450843,0.6170472224002198,84842,42323,610753,38035,4,19950.5,0.31206730769230767,-19950.5,27845.0,0.0,12.5,25.0
NC_003047.1,SSG-LUGIA-F+center,3654135,7,249000,61.91122216607947,72.79230449962158,66.9122872638863,88.59982498940013,0.6036744310815993,89445,55028,598048,33432,4,15423.5,0.31206730769230767,-15000.5,32795.0,25.0,25.0,25.0
NC_003047.1,SSG-LUGIA-R,3654135,23,1122900,40.427070066921836,97.39088682178114,57.136650322038506,76.86045417699268,0.5290162148584698,119671,176346,476730,3206,7,27451.5,0.1817723880597015,-35143.0,19760.0,7.142857142857142,14.285714285714285,21.428571428571427
NC_003047.1,SSG-LUGIA-R+center,3654135,23,1122900,41.33245582949425,99.6655191777143,58.43233803784603,77.54503172228215,0.5489095519412839,122466,173829,479247,411,7,27451.5,0.18669432918395573,-30193.0,24710.0,7.142857142857142,7.142857142857142,21.428571428571427
NC_002944.2,SSG-LUGIA-P,4829781,5,143400,76.6535915156798,80.21283526984472,78.39283440166406,69.12016744270699,0.2447326138160185,36934,11249,8639,9111,2,20700.5,0.2841076923076923,-9544.0,36989.0,0.0,0.0,25.0
NC_002944.2,SSG-LUGIA-P+center,4829781,5,143400,83.76975986484855,75.38277771745032,79.35528120713306,72.60855717167428,0.394821956962845,34710,6725,13163,11335,2,20700.5,0.26417238532026105,-4594.0,41939.0,0.0,25.0,25.0
NC_002944.2,SSG-LUGIA-F,4829781,12,313400,75.3674665269912,100.0,85.95376100206275,77.1753143342484,0.42822716505312464,46045,15049,4839,0,3,14655.0,0.28207430340557277,-10941.0,27039.0,0.0,0.0,16.666666666666664
NC_002944.2,SSG-LUGIA-F+center,4829781,12,313400,81.51043573782498,96.69019437506788,88.45378234738986,82.37149833922315,0.5589039725125051,44521,10099,9789,1524,3,14655.0,0.28207430340557277,-5991.0,31989.0,0.0,16.666666666666664,16.666666666666664
NC_002944.2,SSG-LUGIA-R,4829781,30,1414100,69.83604568273853,100.0,82.23936844737358,69.83604568273853,0.0,46045,19888,0,0,3,24305.0,0.17140102827763495,-18241.0,35439.0,0.0,0.0,0.0
NC_002944.2,SSG-LUGIA-R+center,4829781,30,1414100,69.83604568273853,100.0,82.23936844737358,69.83604568273853,0.0,46045,19888,0,0,3,24305.0,0.17140102827763495,-13291.0,40389.0,16.666666666666664,16.666666666666664,16.666666666666664
NC_002947.3,SSG-LUGIA-P,6181863,13,573500,82.68724785125417,58.407545650254775,68.45836169729975,69.91385654300679,0.43581083021545985,188560,39480,215210,134275,11,11970.0,0.3008360655737705,-15418.0,5027.0,0.0,4.545454545454546,31.818181818181817
NC_002947.3,SSG-LUGIA-P+center,6181863,13,573500,82.01529711382265,61.148884104883294,70.06143373780465,70.78671918964548,0.44463955354181023,197410,43289,211401,125425,11,10222.5,0.37272727272727274,-10468.0,9977.0,4.545454545454546,27.27272727272727,36.36363636363637
NC_002947.3,SSG-LUGIA-F,6181863,16,714100,82.6265484282806,59.33929096907089,69.07296600040024,70.29617765464698,0.4408471085630123,191568,40280,214410,131267,11,16616.0,0.29694174757281555,-21010.0,5434.0,0.0,0.0,22.727272727272727
