accession,method,start,end
NC_003198.1,SSG-LUGIA-P,299101,353300
NC_003198.1,SSG-LUGIA-P,1536201,1565200
NC_003198.1,SSG-LUGIA-P,1623601,1643900
NC_003198.1,SSG-LUGIA-P,1871401,1928700
NC_003198.1,SSG-LUGIA-P,2860201,2885500
NC_003198.1,SSG-LUGIA-P,3516201,3553300
NC_003198.1,SSG-LUGIA-P,4317001,4341700
NC_003198.1,SSG-LUGIA-P,4400801,4532800
NC_003198.1,SSG-LUGIA-P,4686901,4713200
NC_003198.1,SSG-LUGIA-F,291501,354800
NC_003198.1,SSG-LUGIA-F,1010701,1046500
NC_003198.1,SSG-LUGIA-F,1535101,1566300
NC_003198.1,SSG-LUGIA-F,1621801,1644600
NC_003198.1,SSG-LUGIA-F,1869901,1929700
NC_003198.1,SSG-LUGIA-F,2111301,2134400
NC_003198.1,SSG-LUGIA-F,2750001,2764700
NC_003198.1,SSG-LUGIA-F,2854601,2892900
NC_003198.1,SSG-LUGIA-F,3035901,3057500
NC_003198.1,SSG-LUGIA-F,3513501,3562800
NC_003198.1,SSG-LUGIA-F,4234801,4249500
NC_003198.1,SSG-LUGIA-F,4316401,4344700
NC_003198.1,SSG-LUGIA-F,4399301,4534500
NC_003198.1,SSG-LUGIA-F,4680101,4715600
NC_003198.1,SSG-LUGIA-R,3501,16000
NC_003198.1,SSG-LUGIA-R,20001,34400
NC_003198.1,SSG-LUGIA-R,69301,80300
NC_003198.1,SSG-LUGIA-R,210401,225400
NC_003198.1,SSG-LUGIA-R,278301,372800
NC_003198.1,SSG-LUGIA-R,578701,595000
NC_003198.1,SSG-LUGIA-R,609001,623700
NC_003198.1,SSG-LUGIA-R,739201,780400
NC_003198.1,SSG-LUGIA-R,942401,961700
NC_003198.1,SSG-LUGIA-R,989001,1049400
NC_003198.1,SSG-LUGIA-R,1342501,1357100
NC_003198.1,SSG-LUGIA-R,1452801,1468000
NC_003198.1,SSG-LUGIA-R,1526801,1569400
NC_003198.1,SSG-LUGIA-R,1618701,1648600
NC_003198.1,SSG-LUGIA-R,1758101,1796300
NC_003198.1,SSG-LUGIA-R,1862401,1932000
NC_003198.1,SSG-LUGIA-R,2033201,2075400
NC_003198.1,SSG-LUGIA-R,2107801,2202900
NC_003198.1,SSG-LUGIA-R,2287901,2322900
NC_003198.1,SSG-LUGIA-R,2364501,2385700
NC_003198.1,SSG-LUGIA-R,2531801,2549200
NC_003198.1,SSG-LUGIA-R,2575201,2632200
NC_003198.1,SSG-LUGIA-R,2740301,2786200
NC_003198.1,SSG-LUGIA-R,2835001,2899600
NC_003198.1,SSG-LUGIA-R,3033701,3059500
NC_003198.1,SSG-LUGIA-R,3509601,3600400
NC_003198.1,SSG-LUGIA-R,3835701,3852000
NC_003198.1,SSG-LUGIA-R,3864801,3901300
NC_003198.1,SSG-LUGIA-R,4082201,4116500
NC_003198.1,SSG-LUGIA-R,4220601,4257600
NC_003198.1,SSG-LUGIA-R,4314901,4348300
NC_003198.1,SSG-LUGIA-R,4396401,4546600
NC_003198.1,SSG-LUGIA-R,4673901,4730100
NC_003198.1,Comp-only,292201,354700
NC_003198.1,Comp-only,1011101,1046100
NC_003198.1,Comp-only,1535101,1566300
NC_003198.1,Comp-only,1622001,1644600
NC_003198.1,Comp-only,1870001,1929600
NC_003198.1,Comp-only,2111401,2134000
NC_003198.1,Comp-only,2750501,2763900
NC_003198.1,Comp-only,2855101,2892900
NC_003198.1,Comp-only,3035901,3057300
NC_003198.1,Comp-only,3513501,3562600
NC_003198.1,Comp-only,4235301,4249400
NC_003198.1,Comp-only,4316401,4344600
NC_003198.1,Comp-only,4399401,4534400
NC_003198.1,Comp-only,4680101,4715500
NC_003198.1,Comp-only+center,297151,359650
NC_003198.1,Comp-only+center,1016051,1051050
NC_003198.1,Comp-only+center,1540051,1571250
NC_003198.1,Comp-only+center,1626951,1649550
NC_003198.1,Comp-only+center,1874951,1934550
NC_003198.1,Comp-only+center,2116351,2138950
NC_003198.1,Comp-only+center,2755451,2768850
NC_003198.1,Comp-only+center,2860051,2897850
NC_003198.1,Comp-only+center,3040851,3062250
NC_003198.1,Comp-only+center,3518451,3567550
NC_003198.1,Comp-only+center,4240251,4254350
NC_003198.1,Comp-only+center,4321351,4349550
NC_003198.1,Comp-only+center,4404351,4539350
NC_003198.1,Comp-only+center,4685051,4720450
NC_003198.1,DNABERT-2-only,293001,360000
NC_003198.1,DNABERT-2-only,757001,794000
NC_003198.1,DNABERT-2-only,1010001,1053000
NC_003198.1,DNABERT-2-only,1552001,1573000
NC_003198.1,DNABERT-2-only,1626001,1650000
NC_003198.1,DNABERT-2-only,1873001,1922000
NC_003198.1,DNABERT-2-only,2117001,2132000
NC_003198.1,DNABERT-2-only,2586001,2616000
NC_003198.1,DNABERT-2-only,2744001,2754000
NC_003198.1,DNABERT-2-only,2861001,2896000
NC_003198.1,DNABERT-2-only,3040001,3062000
NC_003198.1,DNABERT-2-only,3523001,3600000
NC_003198.1,DNABERT-2-only,4227001,4245000
NC_003198.1,DNABERT-2-only,4318001,4346000
NC_003198.1,DNABERT-2-only,4404001,4531000
NC_003198.1,DNABERT-S-only,286001,361000
NC_003198.1,DNABERT-S-only,1000001,1053000
NC_003198.1,DNABERT-S-only,1538001,1575000
NC_003198.1,DNABERT-S-only,1625001,1652000
NC_003198.1,DNABERT-S-only,1873001,1936000
NC_003198.1,DNABERT-S-only,2118001,2130000
NC_003198.1,DNABERT-S-only,2862001,2902000
NC_003198.1,DNABERT-S-only,3043001,3061000
NC_003198.1,DNABERT-S-only,3515001,3600000
NC_003198.1,DNABERT-S-only,4247001,4257000
NC_003198.1,DNABERT-S-only,4321001,4346000
NC_003198.1,DNABERT-S-only,4403001,4543000
NC_003198.1,DNABERT-S-only,4683001,4721000
NC_003198.1,SAGE-GI,293001,361000
NC_003198.1,SAGE-GI,1000001,1053000
NC_003198.1,SAGE-GI,1538001,1575000
NC_003198.1,SAGE-GI,1625001,1652000
NC_003198.1,SAGE-GI,1873001,1936000
NC_003198.1,SAGE-GI,2118001,2130000
NC_003198.1,SAGE-GI,2748551,2768950
NC_003198.1,SAGE-GI,2862001,2900000
NC_003198.1,SAGE-GI,3043001,3061000
NC_003198.1,SAGE-GI,3512001,3600000
NC_003198.1,SAGE-GI,4247001,4257000
NC_003198.1,SAGE-GI,4321001,4346000
NC_003198.1,SAGE-GI,4403001,4543000
NC_003198.1,SAGE-GI,4683001,4721000
NC_003198.1,SAGE-GI-P,325001,361000
NC_003198.1,SAGE-GI-P,1000001,1053000
NC_003198.1,SAGE-GI-P,1540001,1575000
NC_003198.1,SAGE-GI-P,1625001,1639000
NC_003198.1,SAGE-GI-P,1873001,1921000
NC_003198.1,SAGE-GI-P,3043001,3061000
NC_003198.1,SAGE-GI-P,3512001,3600000
NC_003198.1,SAGE-GI-P,4247001,4257000
NC_003198.1,SAGE-GI-P,4321001,4346000
NC_003198.1,SAGE-GI-P,4403001,4543000
NC_003198.1,SAGE-GI-P,4683001,4721000
NC_003198.1,SAGE-GI-F,293001,361000
NC_003198.1,SAGE-GI-F,1000001,1053000
NC_003198.1,SAGE-GI-F,1538001,1575000
NC_003198.1,SAGE-GI-F,1625001,1652000
NC_003198.1,SAGE-GI-F,1873001,1936000
NC_003198.1,SAGE-GI-F,2118001,2130000
NC_003198.1,SAGE-GI-F,2748551,2768950
NC_003198.1,SAGE-GI-F,2862001,2900000
NC_003198.1,SAGE-GI-F,3043001,3061000
NC_003198.1,SAGE-GI-F,3512001,3600000
NC_003198.1,SAGE-GI-F,4247001,4257000
NC_003198.1,SAGE-GI-F,4321001,4346000
NC_003198.1,SAGE-GI-F,4403001,4543000
NC_003198.1,SAGE-GI-F,4683001,4721000
NC_003198.1,SAGE-GI-R,8451,42350
NC_003198.1,SAGE-GI-R,63051,91250
NC_003198.1,SAGE-GI-R,177251,192550
NC_003198.1,SAGE-GI-R,283651,362350
NC_003198.1,SAGE-GI-R,381651,395950
NC_003198.1,SAGE-GI-R,412951,424250
NC_003198.1,SAGE-GI-R,476951,502050
NC_003198.1,SAGE-GI-R,602051,610150
NC_003198.1,SAGE-GI-R,752951,793350
NC_003198.1,SAGE-GI-R,951351,962950
NC_003198.1,SAGE-GI-R,992151,1054450
NC_003198.1,SAGE-GI-R,1081651,1094150
NC_003198.1,SAGE-GI-R,1124551,1140250
NC_003198.1,SAGE-GI-R,1172251,1185650
NC_003198.1,SAGE-GI-R,1314951,1325150
NC_003198.1,SAGE-GI-R,1341451,1365350
NC_003198.1,SAGE-GI-R,1445951,1481050
NC_003198.1,SAGE-GI-R,1534051,1574250
NC_003198.1,SAGE-GI-R,1622751,1652950
NC_003198.1,SAGE-GI-R,1701451,1722150
NC_003198.1,SAGE-GI-R,1763251,1794050
NC_003198.1,SAGE-GI-R,1805951,1816050
NC_003198.1,SAGE-GI-R,1868851,1935750
NC_003198.1,SAGE-GI-R,2042551,2063750
NC_003198.1,SAGE-GI-R,2075651,2091050
NC_003198.1,SAGE-GI-R,2108651,2157050
NC_003198.1,SAGE-GI-R,2175851,2208750
NC_003198.1,SAGE-GI-R,2294751,2316450
NC_003198.1,SAGE-GI-R,2334251,2345450
NC_003198.1,SAGE-GI-R,2377051,2391250
NC_003198.1,SAGE-GI-R,2457851,2469250
NC_003198.1,SAGE-GI-R,2522751,2538150
NC_003198.1,SAGE-GI-R,2581751,2617250
NC_003198.1,SAGE-GI-R,2708751,2722350
NC_003198.1,SAGE-GI-R,2740051,2784250
NC_003198.1,SAGE-GI-R,2845051,2904750
NC_003198.1,SAGE-GI-R,2936151,2960150
NC_003198.1,SAGE-GI-R,3038851,3067250
NC_003198.1,SAGE-GI-R,3130951,3162550
NC_003198.1,SAGE-GI-R,3271751,3286350
NC_003198.1,SAGE-GI-R,3301351,3318950
NC_003198.1,SAGE-GI-R,3368851,3383350
NC_003198.1,SAGE-GI-R,3412851,3426950
NC_003198.1,SAGE-GI-R,3511051,3608750
NC_003198.1,SAGE-GI-R,3738251,3787350
NC_003198.1,SAGE-GI-R,3822051,3839450
NC_003198.1,SAGE-GI-R,3857351,3870950
NC_003198.1,SAGE-GI-R,3887051,3905950
NC_003198.1,SAGE-GI-R,3928351,3942350
NC_003198.1,SAGE-GI-R,3958951,3970150
NC_003198.1,SAGE-GI-R,4079551,4096650
NC_003198.1,SAGE-GI-R,4189351,4203350
NC_003198.1,SAGE-GI-R,4217551,4271950
NC_003198.1,SAGE-GI-R,4318951,4349950
NC_003198.1,SAGE-GI-R,4403551,4549850
NC_003198.1,SAGE-GI-R,4677451,4753050
NC_003198.1,SAGE-GI(D2),294001,360000
NC_003198.1,SAGE-GI(D2),1000001,1053000
NC_003198.1,SAGE-GI(D2),1552001,1573000
NC_003198.1,SAGE-GI(D2),1626001,1650000
NC_003198.1,SAGE-GI(D2),1873001,1936000
NC_003198.1,SAGE-GI(D2),2117001,2132000
NC_003198.1,SAGE-GI(D2),2586001,2616000
NC_003198.1,SAGE-GI(D2),2744001,2754000
NC_003198.1,SAGE-GI(D2),2861001,2896000
NC_003198.1,SAGE-GI(D2),3040001,3062000
NC_003198.1,SAGE-GI(D2),3523001,3600000
NC_003198.1,SAGE-GI(D2),4227001,4245000
NC_003198.1,SAGE-GI(D2),4318001,4346000
NC_003198.1,SAGE-GI(D2),4404001,4531000
NC_003198.1,SAGE-GI(D2),4682001,4706000
NC_003198.1,SAGE-GI/detrend=250kb,1001,79000
NC_003198.1,SAGE-GI/detrend=250kb,313001,361000
NC_003198.1,SAGE-GI/detrend=250kb,999001,1068000
NC_003198.1,SAGE-GI/detrend=250kb,1540001,1575000
NC_003198.1,SAGE-GI/detrend=250kb,1625001,1639000
NC_003198.1,SAGE-GI/detrend=250kb,1873001,1921000
NC_003198.1,SAGE-GI/detrend=250kb,2862001,2902000
NC_003198.1,SAGE-GI/detrend=250kb,3043001,3061000
NC_003198.1,SAGE-GI/detrend=250kb,3512001,3600000
NC_003198.1,SAGE-GI/detrend=250kb,4321001,4346000
NC_003198.1,SAGE-GI/detrend=250kb,4403001,4543000
NC_003198.1,SAGE-GI/detrend=250kb,4683001,4808000
NC_003198.1,SAGE-GI/no-refine,296851,360050
NC_003198.1,SAGE-GI/no-refine,1010251,1050950
NC_003198.1,SAGE-GI/no-refine,1538451,1572050
NC_003198.1,SAGE-GI/no-refine,1624951,1649550
NC_003198.1,SAGE-GI/no-refine,1875551,1934150
NC_003198.1,SAGE-GI/no-refine,2114951,2136350
NC_003198.1,SAGE-GI/no-refine,2748551,2768950
NC_003198.1,SAGE-GI/no-refine,2864951,2900650
NC_003198.1,SAGE-GI/no-refine,3040651,3062650
NC_003198.1,SAGE-GI/no-refine,3517151,3603350
NC_003198.1,SAGE-GI/no-refine,4237651,4256950
NC_003198.1,SAGE-GI/no-refine,4320351,4347850
NC_003198.1,SAGE-GI/no-refine,4405251,4540050
NC_003198.1,SAGE-GI/no-refine,4681251,4721650
NC_003198.1,SAGE-GI/start-assign,286001,361000
NC_003198.1,SAGE-GI/start-assign,1000001,1054000
NC_003198.1,SAGE-GI/start-assign,1540001,1575000
NC_003198.1,SAGE-GI/start-assign,1625001,1639000
NC_003198.1,SAGE-GI/start-assign,1873001,1921000
NC_003198.1,SAGE-GI/start-assign,2118001,2133000
NC_003198.1,SAGE-GI/start-assign,2862001,2902000
NC_003198.1,SAGE-GI/start-assign,3043001,3061000
