accession,method,start,end
NC_000907.1,SSG-LUGIA-P,601101,625600
NC_000907.1,SSG-LUGIA-P,1553401,1587500
NC_000907.1,SSG-LUGIA-P,1808201,1820200
NC_000907.1,SSG-LUGIA-P+center,606051,630550
NC_000907.1,SSG-LUGIA-P+center,1558351,1592450
NC_000907.1,SSG-LUGIA-P+center,1813151,1825150
NC_000907.1,SSG-LUGIA-F,598601,627200
NC_000907.1,SSG-LUGIA-F,835201,855800
NC_000907.1,SSG-LUGIA-F,1052601,1075000
NC_000907.1,SSG-LUGIA-F,1445101,1457000
NC_000907.1,SSG-LUGIA-F,1552401,1587700
NC_000907.1,SSG-LUGIA-F,1807901,1820200
NC_000907.1,SSG-LUGIA-F+center,603551,632150
NC_000907.1,SSG-LUGIA-F+center,840151,860750
NC_000907.1,SSG-LUGIA-F+center,1057551,1079950
NC_000907.1,SSG-LUGIA-F+center,1450051,1461950
NC_000907.1,SSG-LUGIA-F+center,1557351,1592650
NC_000907.1,SSG-LUGIA-F+center,1812851,1825150
NC_000907.1,SSG-LUGIA-R,45501,63900
NC_000907.1,SSG-LUGIA-R,183101,201000
NC_000907.1,SSG-LUGIA-R,216701,243600
NC_000907.1,SSG-LUGIA-R,274401,296200
NC_000907.1,SSG-LUGIA-R,585901,645500
NC_000907.1,SSG-LUGIA-R,753401,766800
NC_000907.1,SSG-LUGIA-R,772901,787100
NC_000907.1,SSG-LUGIA-R,830201,863700
NC_000907.1,SSG-LUGIA-R,1034401,1110900
NC_000907.1,SSG-LUGIA-R,1369601,1382900
NC_000907.1,SSG-LUGIA-R,1391301,1406800
NC_000907.1,SSG-LUGIA-R,1438501,1490800
NC_000907.1,SSG-LUGIA-R,1545101,1589200
NC_000907.1,SSG-LUGIA-R,1742301,1820200
NC_000907.1,SSG-LUGIA-R+center,50451,68850
NC_000907.1,SSG-LUGIA-R+center,188051,205950
NC_000907.1,SSG-LUGIA-R+center,221651,248550
NC_000907.1,SSG-LUGIA-R+center,279351,301150
NC_000907.1,SSG-LUGIA-R+center,590851,650450
NC_000907.1,SSG-LUGIA-R+center,758351,771750
NC_000907.1,SSG-LUGIA-R+center,777851,792050
NC_000907.1,SSG-LUGIA-R+center,835151,868650
NC_000907.1,SSG-LUGIA-R+center,1039351,1115850
NC_000907.1,SSG-LUGIA-R+center,1374551,1387850
NC_000907.1,SSG-LUGIA-R+center,1396251,1411750
NC_000907.1,SSG-LUGIA-R+center,1443451,1495750
NC_000907.1,SSG-LUGIA-R+center,1550051,1594150
NC_000907.1,SSG-LUGIA-R+center,1747251,1825150
AC_000091.1,SSG-LUGIA-P,260101,316400
AC_000091.1,SSG-LUGIA-P,560101,582400
AC_000091.1,SSG-LUGIA-P,1198201,1217800
AC_000091.1,SSG-LUGIA-P,1571701,1595800
AC_000091.1,SSG-LUGIA-P,2049501,2090700
AC_000091.1,SSG-LUGIA-P,2468901,2489100
AC_000091.1,SSG-LUGIA-P,2749301,2781800
AC_000091.1,SSG-LUGIA-P,3447301,3464100
AC_000091.1,SSG-LUGIA-P,4189401,4203600
AC_000091.1,SSG-LUGIA-P,4507401,4546400
AC_000091.1,SSG-LUGIA-P+center,265051,321350
AC_000091.1,SSG-LUGIA-P+center,565051,587350
AC_000091.1,SSG-LUGIA-P+center,1203151,1222750
AC_000091.1,SSG-LUGIA-P+center,1576651,1600750
AC_000091.1,SSG-LUGIA-P+center,2054451,2095650
AC_000091.1,SSG-LUGIA-P+center,2473851,2494050
AC_000091.1,SSG-LUGIA-P+center,2754251,2786750
AC_000091.1,SSG-LUGIA-P+center,3452251,3469050
