accession,method,true_start,true_end,matched,start_err,end_err,mean_err,signed_start_err,signed_end_err,jaccard
NC_003198.1,Comp-only,302171,361066,True,9971.0,6367.0,8169.0,-9971.0,-6367.0,0.7627601028068596
NC_003198.1,Comp-only,1008746,1051265,True,2354.0,5166.0,3760.0,2354.0,-5166.0,0.8231420507996237
NC_003198.1,Comp-only,1085155,1092734,False,,,,,,0.0
NC_003198.1,Comp-only,1538898,1572918,True,3798.0,6619.0,5208.5,-3798.0,-6619.0,0.7245564398847141
NC_003198.1,Comp-only,1625083,1664822,True,3083.0,20223.0,11653.0,-3083.0,-20223.0,0.45575975527169976
NC_003198.1,Comp-only,1776199,1791814,False,,,,,,0.0
NC_003198.1,Comp-only,1887449,1933557,True,17449.0,3958.0,10703.5,-17449.0,-3958.0,0.663189527675509
NC_003198.1,Comp-only,2460792,2465913,False,,,,,,0.0
NC_003198.1,Comp-only,2597944,2615051,False,,,,,,0.0
NC_003198.1,Comp-only,2743494,2759189,True,7006.0,4710.0,5858.0,7006.0,4710.0,0.42585514064490837
NC_003198.1,Comp-only,2759732,2782363,True,9232.0,18464.0,13848.0,-9232.0,-18464.0,0.1308059251820236
NC_003198.1,Comp-only,2859261,2899033,True,4161.0,6134.0,5147.5,-4161.0,-6134.0,0.7656712341239131
NC_003198.1,Comp-only,3053653,3060016,True,17753.0,2717.0,10235.0,-17753.0,-2717.0,0.15122113032300866
NC_003198.1,Comp-only,3132605,3139413,False,,,,,,0.0
NC_003198.1,Comp-only,3515396,3549054,True,1896.0,13545.0,7720.5,-1896.0,13545.0,0.6855193482688391
NC_003198.1,Comp-only,3883110,3900457,False,,,,,,0.0
NC_003198.1,Comp-only,4321942,4346613,True,5542.0,2014.0,3778.0,-5542.0,-2014.0,0.7499172569007745
NC_003198.1,Comp-only,4409510,4543147,True,10110.0,8748.0,9429.0,-10110.0,-8748.0,0.8688120878203522
NC_003198.1,Comp-only,4683689,4716538,True,3589.0,1039.0,2314.0,-3589.0,-1039.0,0.872993221548341
NC_003198.1,Comp-only+center,302171,361066,True,5021.0,1417.0,3219.0,-5021.0,-1417.0,0.8992756230736737
NC_003198.1,Comp-only+center,1008746,1051265,True,7304.0,216.0,3760.0,7304.0,-216.0,0.8231420507996237
NC_003198.1,Comp-only+center,1085155,1092734,False,,,,,,0.0
NC_003198.1,Comp-only+center,1538898,1572918,True,1152.0,1669.0,1410.5,1152.0,-1669.0,0.9170806266717616
NC_003198.1,Comp-only+center,1625083,1664822,True,1867.0,15273.0,8570.0,1867.0,-15273.0,0.5686965274282838
