accession,method,start,end
AC_000091.1,TreasureIsland,230001,240000
AC_000091.1,TreasureIsland,260001,320000
AC_000091.1,TreasureIsland,380001,390000
AC_000091.1,TreasureIsland,520001,530000
AC_000091.1,TreasureIsland,560001,590000
AC_000091.1,TreasureIsland,650001,660000
AC_000091.1,TreasureIsland,730001,740000
AC_000091.1,TreasureIsland,1090001,1110000
AC_000091.1,TreasureIsland,1195001,1230000
AC_000091.1,TreasureIsland,1410001,1435000
AC_000091.1,TreasureIsland,1460001,1480000
AC_000091.1,TreasureIsland,1520001,1535000
AC_000091.1,TreasureIsland,1580001,1600000
AC_000091.1,TreasureIsland,1630001,1660000
AC_000091.1,TreasureIsland,1800001,1810000
AC_000091.1,TreasureIsland,2040001,2080000
AC_000091.1,TreasureIsland,2100001,2110000
AC_000091.1,TreasureIsland,2470001,2500000
AC_000091.1,TreasureIsland,2720001,2730000
AC_000091.1,TreasureIsland,2750001,2790000
AC_000091.1,TreasureIsland,2980001,3000000
AC_000091.1,TreasureIsland,3180001,3190000
AC_000091.1,TreasureIsland,3260001,3270000
AC_000091.1,TreasureIsland,3360001,3370000
AC_000091.1,TreasureIsland,3420001,3430000
AC_000091.1,TreasureIsland,3460001,3470000
AC_000091.1,TreasureIsland,3590001,3600000
AC_000091.1,TreasureIsland,3830001,3840000
AC_000091.1,TreasureIsland,3870001,3880000
AC_000091.1,TreasureIsland,3980001,3990000
AC_000091.1,TreasureIsland,4000001,4020000
AC_000091.1,TreasureIsland,4050001,4060000
AC_000091.1,TreasureIsland,4170001,4180000
AC_000091.1,TreasureIsland,4495001,4550000
AC_000091.1,TreasureIsland,4570001,4580000
NC_000907.1,TreasureIsland,68001,82000
NC_000907.1,TreasureIsland,100001,115000
NC_000907.1,TreasureIsland,116001,130000
NC_000907.1,TreasureIsland,199001,210000
NC_000907.1,TreasureIsland,225001,255000
NC_000907.1,TreasureIsland,277001,305000
NC_000907.1,TreasureIsland,325001,345000
NC_000907.1,TreasureIsland,357001,375000
NC_000907.1,TreasureIsland,379001,395000
NC_000907.1,TreasureIsland,517001,535000
NC_000907.1,TreasureIsland,630001,645000
NC_000907.1,TreasureIsland,690001,725000
NC_000907.1,TreasureIsland,816001,830000
NC_000907.1,TreasureIsland,920001,935000
NC_000907.1,TreasureIsland,990001,1005000
NC_000907.1,TreasureIsland,1090001,1130000
NC_000907.1,TreasureIsland,1215001,1235000
NC_000907.1,TreasureIsland,1240001,1255000
NC_000907.1,TreasureIsland,1330001,1385000
NC_000907.1,TreasureIsland,1396001,1410000
NC_000907.1,TreasureIsland,1490001,1515000
NC_000907.1,TreasureIsland,1555001,1595000
NC_000907.1,TreasureIsland,1745001,1762000
NC_000907.1,TreasureIsland,1788001,1821000
NC_000907.1,TreasureIsland,1830001,1830138
NC_000913.2,TreasureIsland,230001,240000
NC_000913.2,TreasureIsland,260001,320000
NC_000913.2,TreasureIsland,520001,530000
NC_000913.2,TreasureIsland,560001,590000
NC_000913.2,TreasureIsland,670001,680000
NC_000913.2,TreasureIsland,730001,740000
NC_000913.2,TreasureIsland,1085001,1110000
NC_000913.2,TreasureIsland,1130001,1140000
NC_000913.2,TreasureIsland,1190001,1230000
NC_000913.2,TreasureIsland,1410001,1430000
