accession,organism,method,n_pred,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
NC_003198.1,Salmonella enterica serovar Typhi CT18,SSG-LUGIA-P,9,89.8577055637617,60.8181580363674,72.53955619946481,94.25354805962192,0.7111560064204333,365002,41198,4167686,235151,9,4886.0,0.7163049102644408,-2698.0,-7719.0,11.11111111111111,16.666666666666664,61.111111111111114
NC_003198.1,Salmonella enterica serovar Typhi CT18,SSG-LUGIA-F,14,77.15498605299861,73.74136261919877,75.40956231847757,93.99815389234892,0.7201741365135232,442561,131039,4077845,157592,13,5838.0,0.7245564398847141,-4661.0,-4766.0,3.8461538461538463,15.384615384615385,42.30769230769231
NC_003198.1,Salmonella enterica serovar Typhi CT18,SSG-LUGIA-R,33,40.704450778338085,92.80283527700436,56.58849868399195,82.23064201835003,0.5385658540960924,556959,811341,3397543,43194,16,11915.5,0.5471976699623311,-18204.5,2569.0,9.375,18.75,34.375
NC_003198.1,Salmonella enterica serovar Typhi CT18,Comp-only,14,77.43634442683572,73.27481492219484,75.2981243145645,94.00023331074392,0.7192205191297,439761,128139,4080745,160392,13,5838.0,0.7245564398847141,-4161.0,-5166.0,0.0,15.384615384615385,42.30769230769231
NC_003198.1,Salmonella enterica serovar Typhi CT18,Comp-only+center,14,82.05951752069026,77.6495327024942,79.7936395009473,95.09213590995454,0.7704097479803733,466016,101884,4107000,134137,13,3426.0,0.8231420507996237,789.0,-216.0,15.384615384615385,42.30769230769231,61.53846153846154
NC_003198.1,Salmonella enterica serovar Typhi CT18,DNABERT-2-only,15,69.4262023217247,69.7555456691877,69.59048433574117,92.39196953568874,0.6524284306230861,418640,184360,4024524,181513,12,4566.0,0.6252647137438796,-1718.0,-840.5,20.833333333333336,41.66666666666667,50.0
NC_003198.1,Salmonella enterica serovar Typhi CT18,DNABERT-S-only,13,76.38057784911717,79.2882814882205,77.80727349726484,94.35539797260866,0.7459213213098346,475851,147149,4061735,124302,11,2261.5,0.8022641509433962,-942.0,1734.0,40.909090909090914,54.54545454545454,68.18181818181817
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI,14,77.77047379981174,82.59710440504338,80.11115483538886,94.88182353348498,0.7722328880280741,495709,141691,4067193,104444,13,3067.5,0.8022641509433962,-3396.0,983.0,34.61538461538461,46.15384615384615,57.692307692307686
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI-P,11,77.09465346534652,64.87145777826655,70.45685077088872,93.21076132290102,0.6697063719219287,389328,115672,4093212,210825,10,2738.5,0.7067555473543388,-2169.0,458.0,35.0,50.0,60.0
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI-F,14,77.77047379981174,82.59710440504338,80.11115483538886,94.88182353348498,0.7722328880280741,495709,141691,4067193,104444,13,3067.5,0.8022641509433962,-3396.0,983.0,34.61538461538461,46.15384615384615,57.692307692307686
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI-R,56,34.600900047370914,97.3651718811703,51.05740484841759,76.70483716386461,0.49243375062636563,584340,1104460,3104424,15813,19,5170.0,0.5870402802101576,-5960.0,3336.0,0.0,23.684210526315788,50.0
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI(D2),15,74.02332789559544,75.6078866555695,74.80721722651636,93.64473594193599,0.7117662370733621,453763,159237,4049647,146390,13,4566.0,0.6459654303830452,-3942.0,-614.0,19.230769230769234,42.30769230769231,50.0
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI/detrend=250kb,12,60.21456043956044,73.04170769787038,66.01076833768398,90.61290233366888,0.6100420954420486,438362,289638,3919246,161791,11,3181.0,0.616231884057971,-942.0,983.0,31.818181818181817,40.909090909090914,54.54545454545454
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI/no-refine,14,76.79503500954806,80.40949557862746,78.56071329442035,94.52295750687716,0.7544927984120506,482580,145820,4063064,117573,13,2865.5,0.8131188118811881,-1592.0,592.0,19.230769230769234,46.15384615384615,57.692307692307686
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI/start-assign,12,70.88777589134125,69.57042620798363,70.2229233748727,92.63688343425098,0.6602617333842216,417529,171471,4037413,182624,10,3713.5,0.7855469903676173,-3599.5,1532.0,25.0,35.0,55.00000000000001
NC_003198.1,Salmonella enterica serovar Typhi CT18,SAGE-GI/d=16,13,75.35113636363636,77.34077810158409,76.33299428608078,94.01487241624467,0.7291604373989202,464163,151837,4057047,135990,12,4976.0,0.7422033066860465,-3726.0,449.5,33.33333333333333,41.66666666666667,50.0
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SSG-LUGIA-P,3,66.55043586550435,11.275593741032695,19.283925491299858,82.02371983034877,0.220923630880245,53440,26860,1987831,420504,3,7444.0,0.7356060606060606,-10252.0,2382.0,16.666666666666664,33.33333333333333,50.0
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SSG-LUGIA-F,5,46.03477588871716,12.568784497746568,19.746280728738498,80.54330988674513,0.16098483753372084,59569,69831,1944860,414375,4,9652.5,0.37237276797417856,-14761.5,-1285.5,0.0,12.5,25.0
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SSG-LUGIA-R,19,36.933731270556706,63.97148186283611,46.830197305621375,72.33559762681149,0.31964708180707835,303189,517711,1496980,170755,18,22608.5,0.24329790934878212,-22608.5,17154.0,0.0,11.11111111111111,16.666666666666664
NC_002935.2,Corynebacterium diphtheriae NCTC13129,Comp-only,5,46.25503875968992,12.589884036932633,19.792551215369915,80.56741948899699,0.16203382071807051,59669,69331,1945360,414275,4,9602.5,0.37454465098298206,-14661.5,-1235.5,0.0,12.5,25.0
NC_002935.2,Corynebacterium diphtheriae NCTC13129,Comp-only+center,5,51.87441860465116,14.119389632530426,22.197086296571488,81.1499878447422,0.19549600577476248,66918,62082,1952609,407026,4,8767.5,0.40963549955937284,-9711.5,3714.5,0.0,0.0,25.0
NC_002935.2,Corynebacterium diphtheriae NCTC13129,DNABERT-2-only,4,48.59234693877551,20.09541211619938,28.4325257036409,80.73393647521632,0.2200302038302126,95241,100759,1913932,378703,6,12667.5,0.3019736041345398,-11595.5,12667.5,16.666666666666664,25.0,33.33333333333333
NC_002935.2,Corynebacterium diphtheriae NCTC13129,DNABERT-S-only,8,47.77850877192982,22.98478301233901,31.038088508485007,80.54861399924054,0.23240441396829084,108935,119065,1895626,365009,7,5764.0,0.5576666666666666,-2520.0,2461.0,0.0,35.714285714285715,42.857142857142854
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI,7,53.58432432432433,20.91618419053728,30.08783750971251,81.48856702569883,0.24928416310855045,99131,85869,1928822,374813,6,3633.5,0.5173802882001087,-1959.5,3604.0,0.0,41.66666666666667,58.333333333333336
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI-P,5,47.285714285714285,13.967894941174485,21.565484799916607,80.65027615540245,0.1756044896849462,66200,73800,1940891,407744,4,5764.0,0.5142248140002807,-3837.0,3044.5,0.0,37.5,37.5
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI-F,7,53.58432432432433,20.91618419053728,30.08783750971251,81.48856702569883,0.24928416310855045,99131,85869,1928822,374813,6,3633.5,0.5173802882001087,-1959.5,3604.0,0.0,41.66666666666667,58.333333333333336
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI-R,30,37.143055555555556,67.71179717434971,47.971514502849146,72.02836092878225,0.33614007822858805,320916,543084,1471607,153028,21,8884.5,0.34891216760676874,-1870.0,5581.0,4.761904761904762,16.666666666666664,33.33333333333333
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI(D2),6,59.33827160493828,22.817885657377243,32.96098409921456,82.3234021863391,0.2884702465326653,108144,74106,1940585,365800,8,8788.5,0.35222799009945205,412.0,5099.0,6.25,25.0,37.5
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI/detrend=250kb,5,65.13132530120482,34.2185996657833,44.86571574008499,83.98358939740058,0.3913657893282417,162177,86823,1927868,311767,7,8646.5,0.48551749098024133,-4046.0,-964.0,14.285714285714285,28.57142857142857,42.857142857142854
