accession,method,genome_len,n_pred,pred_bp,seconds,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
NC_000913.2,Comp-only,4639675,12,402400,4.5,72.09946150340147,100.0,83.7881314369789,94.13049422744336,0.8192126226896117,42711,16528,222352,0,4,21353.5,0.1948053097345132,-27334.0,17496.5,0.0,0.0,0.0
NC_000913.2,Comp-only+center,4639675,12,402400,4.7,66.53943822150212,100.0,79.90832553788587,92.37262554556077,0.7781824592573426,42711,21478,217402,0,4,22446.5,0.1948053097345132,-22384.0,22446.5,12.5,12.5,12.5
NC_000913.2,DNABERT-2-only,4639675,14,538000,6.9,44.44987927732911,100.0,61.54367106391256,81.04449360952587,0.5875175802040541,42711,53377,185503,0,4,22781.0,0.2019154545454545,-18706.0,29458.0,0.0,0.0,12.5
NC_000913.2,DNABERT-S-only,4639675,14,602000,9.5,50.80832232968131,100.0,67.38132424629656,85.31487156904872,0.6481743868080971,42711,41352,197528,0,4,25827.0,0.1803457556935818,-24206.0,28849.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI,4639675,13,558000,13.1,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,25724.0,0.1803457556935818,-24206.0,26401.0,0.0,0.0,0.0
NC_000913.2,SAGE-GI(D2),4639675,13,463900,13.2,47.34630283451736,77.55145044602094,58.79648531108547,83.513677638845,0.5157707780195686,33123,36836,202044,9588,4,16728.5,0.1787556183848049,-19706.0,11849.5,0.0,0.0,25.0
NC_000913.2,SAGE-GI/detrend=250kb,4639675,13,594000,12.2,65.65903405811045,79.89276767109176,72.0799315596582,90.6122709887745,0.669647165215713,34123,17847,221033,8588,4,15280.0,0.1737743271221532,-21206.0,9401.0,0.0,0.0,0.0
NC_000913.2,SAGE-GI/no-refine,4639675,13,558700,10.7,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,24949.5,0.1924213286713286,-26185.5,24949.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI/start-assign,4639675,13,590000,9.8,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,28849.5,0.1520292874396135,-41234.0,26401.0,0.0,0.0,0.0
NC_000913.2,SAGE-GI/d=4,4639675,14,495000,6.5,55.63283967019655,100.0,71.49241739479763,87.90373271873035,0.6906528041373535,42711,34062,204818,0,4,24581.5,0.193185817805383,-27234.0,18901.0,0.0,12.5,12.5
NC_000913.2,SAGE-GI/d=8,4639675,12,502000,6.4,68.18595443733138,100.0,81.08400569530137,92.92306927423108,0.7905548821977417,42711,19928,218952,0,4,28849.5,0.1650075910931174,-33734.0,21803.5,0.0,0.0,12.5
NC_000913.2,SAGE-GI/d=16,4639675,14,563000,7.9,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,25827.0,0.1776804919908466,-22706.0,32349.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI/d=32,4639675,13,544000,12.2,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,22960.5,0.1959648275862069,-22960.5,23349.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI/d=48,4639675,14,528000,17.5,50.80832232968131,100.0,67.38132424629656,85.31487156904872,0.6481743868080971,42711,41352,197528,0,4,22228.5,0.1959648275862069,-21460.5,23349.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI-P,4639675,11,413000,9.5,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,21780.0,0.2416227390180878,-12535.5,26401.0,0.0,12.5,12.5
NC_000913.2,SAGE-GI-F,4639675,13,558000,9.6,57.71288814420452,100.0,73.187282058312,88.88636355565342,0.7081813627105477,42711,31295,207585,0,4,25724.0,0.1803457556935818,-24206.0,26401.0,0.0,0.0,0.0
NC_000913.2,SAGE-GI-R,4639675,58,1638700,9.9,24.754833773821115,100.0,39.685570530599726,53.89589866153393,0.336173056717014,42711,129825,109055,0,4,31799.5,0.1358827160493827,-34134.0,31799.5,0.0,0.0,0.0
NC_000913.2,NT-v2-only,4639675,8,243000,7.4,22.21597194877276,27.73992648263913,24.672539097478182,74.30812774556004,0.0949760158326275,11848,41483,197397,30863,2,26427.0,0.1018969725237449,-9904.5,33746.5,0.0,0.0,0.0
NC_000913.2,SAGE-GI(NT),4639675,13,475900,10.0,46.79193641770619,62.44293039263889,53.49620893007582,83.53356463807438,0.4441251655498121,26670,30327,208553,16041,4,16458.0,0.1175544520319416,2464.5,23849.5,0.0,12.5,12.5
AC_000091.1,Comp-only,4646332,12,425200,4.8,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,18936.0,0.2755550449346405,-14525.0,20126.5,0.0,0.0,0.0
AC_000091.1,Comp-only+center,4646332,12,425200,4.9,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,18936.0,0.2755550449346405,-9575.0,25076.5,25.0,25.0,25.0
AC_000091.1,DNABERT-2-only,4646332,12,427500,6.9,29.011766712141885,61.03960174014441,39.33014492334812,84.6898518172802,0.3470847602496729,13610,33302,218657,8687,1,20695.0,0.2474545454545454,-22784.0,18606.0,0.0,0.0,0.0
AC_000091.1,DNABERT-S-only,4646332,14,660000,9.1,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,27195.0,0.157986862745098,-18625.0,41726.5,0.0,0.0,0.0
AC_000091.1,SAGE-GI,4646332,13,593900,13.1,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,33536.0,0.1443949579831932,-30125.0,41726.5,0.0,0.0,0.0
AC_000091.1,SAGE-GI(D2),4646332,12,428000,12.9,41.5981045129755,100.0,58.75517141426651,88.58584680007002,0.6035714925681512,22297,31304,220655,0,2,11536.0,0.3358814338235294,-3125.0,18726.5,0.0,25.0,50.0
